code,year,bldg_all,floor_all,bldg_house,floor_house,bldg_mixed,floor_mixed,cost_all,cost_house
03201,2011,1342,303246,1137,161853,20,2737,5082345,2937229
03201,2012,1628,322726,1381,191265,17,8876,5009087,3102656
03201,2013,1620,300428,1387,188497,17,4297,4953960,3153216
03201,2014,1450,287405,1240,196585,23,5968,5402407,3516853
03201,2015,1361,219142,1171,160884,14,2019,3743662,2789249
03201,2016,1627,267382,1330,179649,21,15681,5124662,3199703
03201,2017,1562,271150,1357,188168,13,3063,5025818,3403167
03201,2018,1563,278119,1359,188418,19,3516,5138270,3459849
03201,2019,1552,258585,1316,158468,15,25810,4999570,2915917
03202,2011,98,26248,58,8225,2,493,348635,152386
03202,2012,870,142976,568,72985,14,2135,2500818,1126614
03202,2013,523,127310,392,56803,8,1408,2188174,971161
03202,2014,549,110510,442,72934,4,591,2157938,1491748
03202,2015,579,87531,422,55875,12,1777,1623588,1026327
03202,2016,450,72649,357,40051,9,1233,2002134,727923
03202,2017,327,46224,222,24914,6,865,1036505,453635
03202,2018,212,24849,159,17754,2,248,468691,337583
03202,2019,202,23362,129,14380,0,0,478197,272006
03203,2011,298,49659,148,16548,9,1510,731631,242044
03203,2012,634,133453,368,52024,18,3777,2088553,830165
03203,2013,631,148994,339,54706,14,2414,2707904,987676
03203,2014,551,104494,415,72934,5,566,2016079,1406077
03203,2015,517,121480,370,56493,13,2278,2635969,1225860
03203,2016,347,66736,220,27230,10,1947,1583406,516768
03203,2017,291,45738,174,21497,7,1410,804986,406561
03203,2018,268,43959,162,18207,6,689,846483,329502
03203,2019,195,26832,130,13693,0,0,550947,247723
03205,2011,432,64870,348,41459,4,748,936930,606308
03205,2012,483,97139,389,46702,5,569,1584812,697454
03205,2013,540,75950,458,54143,8,1937,1160732,815566
03205,2014,493,110789,408,46700,5,943,1344821,736747
03205,2015,515,102598,418,49158,1,205,1492560,790267
03205,2016,521,89392,408,47331,7,1253,1424076,778352
03205,2017,473,76301,372,43964,6,6666,1343013,718851
03205,2018,562,114474,466,50938,2,297,2156285,883484
03205,2019,612,102473,494,63041,4,1126,1743228,1102111
03206,2011,511,82404,423,48331,7,1255,1093110,707803
03206,2012,558,100605,435,51994,6,1068,1286305,773930
03206,2013,644,170200,546,63061,7,1078,2241524,977470
03206,2014,616,137971,517,58778,3,597,2395958,922500
03206,2015,646,158228,526,62066,2,570,2720139,986631
03206,2016,677,96883,503,56503,6,1130,1580321,902301
03206,2017,617,125079,522,62921,2,372,1781853,1035084
03206,2018,654,374915,542,73470,1,133,13793196,1280861
03206,2019,860,185702,720,108598,8,6517,3223404,1843108
03207,2011,174,42031,106,12311,0,0,373839,159102
03207,2012,235,51767,132,14757,4,731,776861,204436
03207,2013,239,40187,180,21812,0,0,646459,332482
03207,2014,239,37025,181,21447,4,532,609001,319016
03207,2015,187,25430,146,16416,0,0,453071,251728
03207,2016,205,43475,150,17648,2,1272,873199,298801
03207,2017,217,42066,152,18273,9,1412,698450,314708
03207,2018,218,29283,172,20739,1,138,568222,359045
03207,2019,209,28529,165,17589,2,1457,528184,301938
03208,2011,156,33143,104,11344,0,0,465564,176214
03208,2012,194,41221,145,17807,2,341,699644,269216
03208,2013,187,27362,123,14534,5,731,354603,223869
03208,2014,121,18570,81,10069,1,173,298954,171897
03208,2015,126,16868,89,10616,2,233,320941,189570
03208,2016,111,20925,66,8469,1,296,393167,146341
03208,2017,114,14917,79,8651,2,200,246449,150260
03208,2018,116,13152,88,11247,0,0,223833,199277
03208,2019,134,15270,107,12931,0,0,261580,226985
03209,2011,485,106794,373,45333,5,1912,1537670,670754
03209,2012,655,131093,451,52952,6,729,2004337,792109
03209,2013,730,165186,528,67455,11,5111,2586599,1046692
03209,2014,537,102686,384,46482,8,1774,1443676,736591
03209,2015,589,122671,424,62226,3,435,1968008,1135683
03209,2016,531,90038,414,47769,4,700,1506316,806078
03209,2017,539,85568,408,47784,6,573,1488548,784628
03209,2018,610,111539,484,57219,1,123,1714935,958364
03209,2019,485,88497,405,45857,3,527,1490210,800503
03210,2011,222,40518,85,10627,2,107,511456,158620
03210,2012,430,63999,241,31842,6,949,882053,492531
03210,2013,497,126002,326,69896,4,1118,2252119,1251670
03210,2014,446,104566,314,62590,4,367,2146086,1323318
03210,2015,441,63890,359,49649,5,754,1242913,978226
03210,2016,384,79850,304,42632,5,847,1780356,919948
03210,2017,262,44071,183,22050,4,520,1089001,415429
03210,2018,396,65425,287,37291,13,1974,1627212,723952
03210,2019,255,42620,163,18233,5,720,993158,350947
03211,2011,178,47518,96,14631,7,747,674154,216403
03211,2012,367,90498,225,41703,8,2562,1576005,729151
03211,2013,410,163687,302,67024,12,2280,2537520,1151450
03211,2014,324,70273,242,38326,9,1863,1595881,753941
03211,2015,348,118662,251,59132,12,7991,3624891,1476981
03211,2016,451,64772,368,46475,14,2242,1421160,936036
