code,year,bldg_all,floor_all,bldg_house,floor_house,bldg_mixed,floor_mixed
03201,2020,1449,223233,1286,158779,14,2692
03201,2021,1668,260187,1500,186663,16,2679
03201,2022,1505,240880,1341,171335,10,1964
03201,2023,1354,212060,1208,149994,8,2243
03201,2024,1317,217859,1129,124531,14,36370
03202,2020,176,22539,120,13238,2,635
03202,2021,170,26260,127,13376,4,496
03202,2022,154,19329,118,11217,2,460
03202,2023,114,36085,79,7318,0,0
03202,2024,121,16574,80,7941,1,57
03203,2020,158,19249,104,11211,1,275
03203,2021,148,29360,105,11341,2,336
03203,2022,112,13921,84,8090,1,98
03203,2023,108,13006,81,8210,1,147
03203,2024,87,9517,64,7062,1,194
03205,2020,499,85730,422,45719,5,854
03205,2021,557,78682,480,52413,3,301
03205,2022,544,90907,463,51519,0,0
03205,2023,577,96342,499,55320,2,301
03205,2024,444,43219,388,35584,0,0
03206,2020,721,120823,600,67736,6,1182
03206,2021,816,186763,676,71496,3,3313
03206,2022,841,467606,701,89765,5,1016
03206,2023,705,161815,606,92868,6,1382
03206,2024,595,148018,493,52006,10,8099
03207,2020,163,35689,118,12257,1,128
03207,2021,185,35295,128,16016,1,132
03207,2022,119,17973,95,10331,5,1568
03207,2023,101,10384,89,8189,2,660
03207,2024,78,8618,68,6251,0,0
03208,2020,114,21692,81,8458,2,308
03208,2021,120,41907,86,9518,0,0
03208,2022,101,11234,75,7844,1,99
03208,2023,90,90654,66,6074,1,20
03208,2024,78,10059,70,6128,0,0
03209,2020,458,89062,370,41221,1,99
03209,2021,489,68712,397,40246,5,787
03209,2022,496,76095,393,39508,4,437
03209,2023,510,149413,361,37173,2,1381
03209,2024,384,45251,315,31412,2,325
03210,2020,189,28885,92,9753,5,1033
03210,2021,127,17356,82,8337,3,433
03210,2022,100,11336,67,7005,1,163
03210,2023,77,18307,48,4809,0,0
03210,2024,67,14670,42,4686,1,108
03211,2020,136,16508,103,10948,3,345
03211,2021,128,55593,83,9213,4,992
03211,2022,133,25891,105,10781,0,0
03211,2023,86,9161,73,7004,1,99
03211,2024,59,9769,44,4457,0,0
03213,2020,114,21415,80,7739,3,487
03213,2021,158,25930,101,10124,1,158
03213,2022,136,21006,103,10354,0,0
03213,2023,103,11416,87,8891,4,780
03213,2024,93,15997,54,5114,3,962
03214,2020,160,60880,87,9017,1,130
03214,2021,123,18857,95,9427,1,424
03214,2022,98,29694,75,8302,0,0
03214,2023,89,12361,58,6560,0,0
03214,2024,82,16637,56,5504,0,0
03215,2020,757,89772,656,61119,5,887
03215,2021,815,94289,719,63157,4,976
03215,2022,861,117287,707,61571,2,403
03215,2023,761,127748,662,63405,5,884
03215,2024,686,155445,600,67231,4,2079
03216,2020,334,54785,292,32451,1,126
03216,2021,356,48872,316,33186,1,123
03216,2022,303,45125,273,26353,2,286
03216,2023,267,34671,230,21475,1,94
03216,2024,242,25797,220,21828,1,94
03301,2020,67,10717,40,3963,2,226
03301,2021,97,10914,64,5614,2,125
03301,2022,85,12614,55,4848,0,0
03301,2023,57,14967,44,4136,0,0
03301,2024,95,10540,52,5052,0,0
03302,2020,11,3018,9,693,0,0
03302,2021,23,16143,8,888,1,146
03302,2022,14,1988,11,1447,0,0
03302,2023,8,1179,4,329,0,0
03302,2024,9,504,6,314,0,0
03303,2020,48,6789,41,5320,0,0
03303,2021,60,12363,34,3838,0,0
03303,2022,41,5250,27,3079,0,0
03303,2023,34,3723,27,2508,0,0
03303,2024,27,2935,15,1300,0,0
03321,2020,240,31981,210,23235,5,411
03321,2021,258,31048,225,25490,2,188
03321,2022,174,19998,155,15627,0,0
03321,2023,198,38310,169,17846,0,0
03321,2024,202,26605,177,18452,1,670
03322,2020,145,21721,114,16980,1,136
03322,2021,138,26954,113,12191,2,2909
03322,2022,107,121292,78,8593,0,0
03322,2023,121,26040,95,9181,2,227
03322,2024,223,45155,191,19459,0,0
03366,2020,11,4537,8,798,0,0
03366,2021,11,1024,7,754,0,0
03366,2022,8,682,6,512,0,0
03366,2023,10,1100,5,565,0,0
