code,name,total,age_0_14,age_15_64,age_65_,area_km2
03000,岩手県,1330147,168804,795780,360498,15278.89
03201,盛岡市,298348,38771,192664,63721,886.47
03202,宮古市,59430,7230,33792,18363,1259.89
03203,大船渡市,40737,4834,23259,12552,323.3
03205,花巻市,101438,12819,59631,28869,908.32
03206,北上市,93138,13544,58248,20771,437.55
03207,久慈市,36872,5211,21943,9718,623.14
03208,遠野市,29331,3333,15914,10070,825.62
03209,一関市,118578,14848,67990,35496,1133.1
03210,陸前高田市,23300,2732,12441,8125,232.29
03211,釜石市,39574,4436,21359,13772,441.43
03213,二戸市,29702,3637,17130,8878,420.31
03214,八幡平市,28680,3105,16431,9142,862.25
03215,奥州市,124746,15966,72529,36075,993.35
03301,雫石町,18033,2065,10762,5199,609.01
03302,葛巻町,7304,643,3837,2824,434.99
03303,岩手町,14984,1700,8609,4675,360.55
03305,滝沢村,53857,7994,36344,9064,182.32
03321,紫波町,33288,4577,20649,8052,239.03
03322,矢巾町,27205,4027,17792,5354,67.28
03366,西和賀町,6602,595,3170,2837,590.78
03381,金ケ崎町,16325,2138,9907,4245,179.77
03402,平泉町,8345,989,4814,2541,63.39
03422,藤沢町,9064,992,4946,3126,123.15
03441,住田町,6190,572,3220,2398,334.83
03461,大槌町,15276,1749,8579,4948,200.59
03482,山田町,18617,2329,10361,5927,263.45
03483,岩泉町,10804,1121,5599,4084,992.92
03484,田野畑村,3843,455,2087,1301,156.19
03485,普代村,3088,356,1759,973,69.69
03501,軽米町,10209,1120,5706,3383,245.74
03503,野田村,4632,526,2713,1393,80.83
03506,九戸村,6507,714,3548,2245,134.05
03507,洋野町,17913,2292,10154,5467,303.2
03524,一戸町,14187,1384,7893,4910,300.11
