code,total,area_km2,density,avg_age,median_age,age_0_14,age_15_64,age_65_
03000,1279594,15275.01,83.8,48.9888777643,51.2526403558,150992,734886,386573
03201,297631,886.47,335.7,45.9115338493,46.3633372503,36828,182979,73729
03202,56676,1259.15,45,51.0696873062,54.2565406977,6060,31218,19167
03203,38058,322.5,118,51.2843873048,54.2454545455,4014,20921,12906
03205,97702,908.39,107.6,49.5174565893,51.9877740304,11622,54618,31259
03206,93511,437.55,213.7,45.9927615788,46.2401764234,12780,56581,23546
03207,35642,623.5,57.2,48.7436192939,51.2725409836,4505,20544,10527
03208,28062,825.97,34,52.8032066848,57.1857142857,3000,14533,10471
03209,121583,1256.42,96.8,50.8948631662,54.426071213,13750,67024,40468
03210,19758,231.94,85.2,52.8293644736,56.458490566,1951,10472,7230
03211,36802,440.34,83.6,52.3024640881,55.9113785558,3649,19994,13044
03213,27611,420.42,65.7,50.9242545164,54.2029411765,3131,15264,9171
03214,26355,862.3,30.6,52.9710414453,57.4234693878,2553,14267,9528
03215,119422,993.3,120.2,49.8501312468,52.7498269896,14400,66315,38526
03216,55463,182.46,304,43.5270765325,43.7135980746,7970,35312,11858
03301,16981,608.82,27.9,50.9885406233,54.769058296,1815,9467,5691
03302,6344,434.96,14.6,56.7541784926,61.5555555556,509,3136,2697
03303,13692,360.46,38,52.361985826,56.2734375,1389,7466,4832
03321,32614,238.98,136.5,47.8694895231,50.141025641,4141,18866,9159
03322,27678,67.32,411.1,45.0577898551,45.4625,3620,17453,6527
03366,5880,590.74,10,58.6506802721,63.3271028037,459,2661,2760
03381,15895,179.76,88.4,47.8545809212,49.0685714286,2030,9362,4500
03402,7868,63.39,124.1,51.5122044241,55.9732142857,898,4222,2746
03441,5720,334.84,17.1,55.8072752711,59.9805825243,482,2871,2365
03461,11759,200.42,58.7,51.5593688866,55.3789808917,1193,6555,4009
03482,15826,262.81,60.2,51.4825603437,55.2171717172,1655,8568,5603
03483,9841,992.36,9.9,55.027487044,59.7946428571,946,4891,4004
03484,3466,156.19,22.2,53.2080207732,58.5490196078,385,1789,1292
03485,2795,69.66,40.1,53.9368515206,58.37,275,1478,1042
03501,9333,245.82,38,53.2538840673,57.5422077922,931,5004,3398
03503,4149,80.8,51.3,52.210151917,55.8968253968,434,2261,1452
03506,5865,134.02,43.8,53.9537084399,59.3154761905,625,2962,2278
03507,16693,302.92,55.1,52.1787276104,56.7511013216,1781,8953,5959
03524,12919,300.03,43.1,53.9603297469,58.4383259912,1211,6879,4829
