code,pop15,labor,labor_rate,workers,wA,wB,wC,wD,wE,wF,wG,wH,wI,wJ,wK,wL,wM,wN,wO,wP,wQ,wR,wS,wT,w1,w2,w3,commute,school,day_pop,dn_ratio
03000,1121459,662760,60.0745084887,636329,62873,4858,619,64256,94765,3036,6708,30882,95273,11556,7825,14034,32862,21324,27036,81202,8958,33531,26079,8652,67731,159640,400306,540943,59839,1276705,99.7742252621
03201,256708,150121,60.0988830618,143723,4775,22,39,10848,9126,986,3793,7721,27433,4636,3361,5020,9056,5684,8795,21924,911,8753,7008,3832,4797,20013,115081,130151,17597,314704,105.7362976303
03202,50385,27770,56.0229175493,26507,1145,954,39,3784,3588,173,60,1133,3801,383,308,745,1330,731,1259,3683,532,1216,1351,292,2099,7411,16705,23050,2084,58176,102.6466229092
03203,33827,19513,58.8396707174,18838,551,842,79,2763,2743,96,115,818,2723,242,196,428,883,595,816,2298,443,1039,933,235,1393,5585,11625,16492,1285,39494,103.7731882916
03205,85877,51180,60.3608916146,49218,6002,5,26,3714,9183,180,318,2660,7523,724,429,833,2889,1592,1950,5832,801,2309,1601,647,6007,12923,29641,40902,4572,93852,96.0594460707
03206,80127,49063,63.2247007126,47239,3103,-,7,3561,13488,235,361,2627,6237,742,556,811,2509,1518,1736,4810,470,2408,1226,834,3103,17056,26246,41882,4282,97130,103.8701329255
03207,31071,18039,58.4770487552,17134,1249,358,15,2486,2351,75,37,822,2342,221,152,334,754,534,835,2331,322,912,955,49,1607,4852,10626,15051,1443,36065,101.1868020874
03208,25004,14850,59.5691764611,14291,2630,2,34,1900,2490,51,64,457,1721,159,83,187,581,445,385,1693,230,646,510,23,2632,4424,7212,11085,975,27251,97.109970779
03209,107492,62608,59.0413142087,60063,7902,37,100,5784,12194,192,311,2767,7869,872,469,933,2635,1843,2403,7516,1001,2734,1783,718,7939,18078,33328,49194,5294,121401,99.85030802
03210,17702,10052,57.0520460866,9697,675,422,20,1923,1363,12,42,371,1185,109,72,175,434,236,367,1155,219,483,412,22,1097,3306,5272,8474,714,18917,95.7434963053
03211,33038,18318,55.6558198888,17547,252,492,37,2703,3062,145,107,636,2280,297,234,584,883,465,630,2138,340,1084,1147,31,744,5802,10970,16003,1077,39546,107.4561165154
03213,24435,15114,62.0774633425,14580,2731,3,11,1401,2380,55,52,595,2015,233,115,230,463,427,524,1778,185,767,533,82,2734,3792,7972,11260,1136,28232,102.2491036181
03214,23795,14438,60.9429741252,13845,3211,11,20,1483,1983,32,42,498,1565,118,64,180,1020,473,279,1447,230,733,441,15,3222,3486,7122,10278,1012,25162,95.4733447164
03215,104841,63950,61.7510452777,61595,8813,3,29,5438,12111,261,358,2514,8456,949,576,1014,2838,2460,2131,7187,1096,2955,1704,702,8816,17578,34499,49881,4932,115443,96.6681181022
03216,47170,28955,63.2868508481,27861,1391,8,13,3236,2851,110,391,1583,4814,501,406,735,1572,971,1206,3864,236,1730,1673,570,1399,6100,19792,25342,3598,47864,86.2989740908
03301,15158,9465,62.9531094114,9148,1661,2,6,979,812,35,62,454,1256,98,79,146,865,321,264,1021,122,573,256,136,1663,1797,5552,7210,699,15780,92.9273894353
03302,5833,3143,54.0498710232,3014,855,-,6,399,387,28,5,103,288,14,2,19,135,66,55,345,87,101,109,10,855,792,1357,2088,172,6087,95.9489281211
03303,12298,7447,60.7075894677,7173,1931,-,3,882,994,18,23,287,921,71,26,94,178,203,198,695,127,285,223,14,1931,1879,3349,5248,536,12527,91.4913818288
03321,28025,17891,63.9809748596,17209,2520,3,12,1397,2030,97,193,1211,2879,317,189,343,647,601,670,2082,332,1018,634,34,2523,3439,11213,14189,1565,26599,81.5570000613
03322,23980,14436,61.6290983607,13922,1237,-,11,1076,1246,92,193,1040,2938,279,242,363,550,495,711,1919,119,793,564,54,1237,2333,10298,12240,2294,28776,103.9670496423
03366,5421,3064,56.5835641736,2988,659,2,1,327,362,1,4,74,252,22,-,30,215,95,60,510,80,115,176,3,661,690,1634,2172,144,5798,98.6054421769
03381,13862,8757,65.3166256433,8508,1428,-,-,465,2372,37,40,402,905,102,46,107,309,248,278,814,91,414,193,257,1428,2837,3986,6804,677,18412,115.8351682919
03402,6968,4210,60.5406960023,4075,584,-,3,420,749,18,22,182,529,62,43,54,274,134,139,407,55,265,129,6,584,1172,2313,3236,300,6943,88.2435180478
03441,5236,2942,56.2523900574,2850,560,3,9,372,566,1,8,90,272,22,11,25,77,68,80,402,46,90,146,2,563,947,1338,2293,158,5338,93.3216783217
03461,10564,6038,57.1617911578,5769,183,173,56,1160,1006,24,25,259,662,44,36,98,272,126,148,632,79,373,382,31,356,2222,3160,5316,420,11034,93.8345097372
03482,14171,8031,56.6840767928,7632,316,651,10,1393,1071,13,8,295,938,80,46,181,365,180,193,890,150,321,511,20,967,2474,4171,6545,603,14637,92.4870466321
