code,total,male,female,area_km2,density,avg_age,median_age,age_0_14,age_15_64,age_65_
03000,1210534,582952,627582,15275.01,79.2,50.58634,52.86212,132735,670784,407015
03201,289731,136919,152812,886.47,326.8,47.6811,48.71663,33724,174492,81515
03202,50369,24381,25988,1259.15,40,52.96334,56.45921,5007,26237,19125
03203,34728,16679,18049,322.51,107.7,53.21547,56.45766,3398,18199,13131
03205,93193,44423,48770,908.39,102.6,50.97764,53.25268,10209,50600,32384
03206,93045,46852,46193,437.55,212.6,47.34087,47.89611,11426,56127,25492
03207,33043,15883,17160,623.5,53,51.09737,53.83889,3726,18142,11175
03208,25366,12222,13144,825.97,30.7,54.36797,59.07714,2554,12529,10283
03209,111932,54254,57678,1256.42,89.1,52.47331,56.07578,11600,58884,41448
03210,18262,8831,9431,231.94,78.7,54.67972,58.428,1637,9255,7370
03211,32078,15369,16709,440.35,72.8,54.0616,57.58565,2950,16295,12833
03213,25513,11993,13520,420.42,60.7,52.94162,56.29331,2541,13450,9522
03214,24023,11509,12514,862.3,27.9,54.9924,59.93218,2117,11950,9956
03215,112937,54840,58097,993.3,113.7,51.5063,54.2876,12526,60288,40123
03216,55579,27146,28433,182.46,304.6,45.39582,46.32726,7615,33778,14186
03301,15731,7505,8226,608.82,25.8,53.27255,57.50636,1584,8068,6079
03302,5634,2731,2903,434.96,13,58.61555,64.08333,418,2498,2718
03303,12285,5970,6315,360.46,34.1,54.32198,58.80523,1081,6307,4897
03321,32147,15390,16757,238.98,134.5,49.26919,51.6061,3949,18101,10097
03322,28056,13337,14719,67.32,416.8,46.15654,47.02252,3473,17202,7381
03366,5134,2380,2754,590.74,8.7,60.39151,65.5,360,2155,2619
03381,15535,8030,7505,179.76,86.4,48.82533,49.82045,1835,8923,4777
03402,7252,3500,3752,63.39,114.4,53.29978,57.93617,791,3602,2859
03441,5045,2470,2575,334.84,15.1,57.43717,62.26282,376,2382,2287
03461,11004,5234,5770,200.42,54.9,53.08488,57.35802,1132,5663,4209
03482,14320,6898,7422,262.81,54.5,53.68987,57.43503,1374,7198,5748
03483,8726,4327,4399,992.36,8.8,56.71533,61.66887,738,4119,3869
03484,3059,1527,1532,156.19,19.6,55.22802,60.67708,317,1446,1296
03485,2487,1244,1243,69.66,35.7,56.25875,61.08537,219,1201,1067
03501,8421,4090,4331,245.82,34.3,55.45571,60.21759,765,4135,3521
03503,3936,1863,2073,80.8,48.7,53.42581,57.58491,429,1993,1514
03506,5378,2556,2822,134.02,40.1,55.9444,61.51087,511,2489,2378
03507,15091,7101,7990,302.92,49.8,55.03383,59.78659,1365,7452,6274
03524,11494,5498,5996,300.03,38.3,55.7008,60.69186,988,5624,4882
