code,year,type,count
03201,2016,ひったくり,0
03201,2016,オートバイ盗,2
03201,2016,自動販売機ねらい,0
03201,2016,自動車盗,0
03201,2016,自転車盗,0
03201,2016,車上ねらい,0
03201,2016,部品ねらい,0
03201,2017,ひったくり,0
03201,2017,オートバイ盗,0
03201,2017,自動販売機ねらい,0
03201,2017,自動車盗,0
03201,2017,自転車盗,6
03201,2017,車上ねらい,1
03201,2017,部品ねらい,0
03201,2018,ひったくり,0
03201,2018,オートバイ盗,2
03201,2018,自動販売機ねらい,14
03201,2018,自動車盗,3
03201,2018,自転車盗,301
03201,2018,車上ねらい,49
03201,2018,部品ねらい,9
03201,2019,ひったくり,0
03201,2019,オートバイ盗,1
03201,2019,自動販売機ねらい,11
03201,2019,自動車盗,2
03201,2019,自転車盗,228
03201,2019,車上ねらい,33
03201,2019,部品ねらい,5
03201,2020,ひったくり,0
03201,2020,オートバイ盗,2
03201,2020,自動販売機ねらい,11
03201,2020,自動車盗,1
03201,2020,自転車盗,184
03201,2020,車上ねらい,25
03201,2020,部品ねらい,9
03201,2021,ひったくり,0
03201,2021,オートバイ盗,1
03201,2021,自動販売機ねらい,2
03201,2021,自動車盗,0
03201,2021,自転車盗,159
03201,2021,車上ねらい,22
03201,2021,部品ねらい,4
03201,2022,ひったくり,1
03201,2022,オートバイ盗,1
03201,2022,自動販売機ねらい,6
03201,2022,自動車盗,1
03201,2022,自転車盗,211
03201,2022,車上ねらい,12
03201,2022,部品ねらい,2
03201,2023,ひったくり,0
03201,2023,オートバイ盗,7
03201,2023,自動販売機ねらい,5
03201,2023,自動車盗,0
03201,2023,自転車盗,300
03201,2023,車上ねらい,29
03201,2023,部品ねらい,4
03201,2024,ひったくり,0
03201,2024,オートバイ盗,1
03201,2024,自動販売機ねらい,5
03201,2024,自動車盗,4
03201,2024,自転車盗,403
03201,2024,車上ねらい,18
03201,2024,部品ねらい,7
03201,2025,ひったくり,0
03201,2025,オートバイ盗,2
03201,2025,自動販売機ねらい,7
03201,2025,自動車盗,3
03201,2025,自転車盗,293
03201,2025,車上ねらい,33
03201,2025,部品ねらい,3
03202,2016,ひったくり,0
03202,2016,オートバイ盗,0
03202,2016,自動販売機ねらい,0
03202,2016,自動車盗,0
03202,2016,自転車盗,0
03202,2016,車上ねらい,0
03202,2016,部品ねらい,0
03202,2017,ひったくり,0
03202,2017,オートバイ盗,0
03202,2017,自動販売機ねらい,0
03202,2017,自動車盗,0
03202,2017,自転車盗,1
03202,2017,車上ねらい,0
03202,2017,部品ねらい,0
03202,2018,ひったくり,0
03202,2018,オートバイ盗,1
03202,2018,自動販売機ねらい,1
03202,2018,自動車盗,0
03202,2018,自転車盗,16
03202,2018,車上ねらい,2
03202,2018,部品ねらい,0
03202,2019,ひったくり,0
03202,2019,オートバイ盗,4
03202,2019,自動販売機ねらい,2
03202,2019,自動車盗,2
03202,2019,自転車盗,10
03202,2019,車上ねらい,4
03202,2019,部品ねらい,1
03202,2020,ひったくり,0
03202,2020,オートバイ盗,0
03202,2020,自動販売機ねらい,1
03202,2020,自動車盗,1
03202,2020,自転車盗,6
03202,2020,車上ねらい,3
03202,2020,部品ねらい,2
03202,2021,ひったくり,0
03202,2021,オートバイ盗,0
03202,2021,自動販売機ねらい,0
03202,2021,自動車盗,0
03202,2021,自転車盗,9
03202,2021,車上ねらい,4
03202,2021,部品ねらい,2
03202,2022,ひったくり,0
03202,2022,オートバイ盗,0
03202,2022,自動販売機ねらい,0
03202,2022,自動車盗,0
03202,2022,自転車盗,8
03202,2022,車上ねらい,1
03202,2022,部品ねらい,1
03202,2023,ひったくり,0
