year,code,name,gen_total,gen_with_beds,gen_ryoyo,gen_no_beds,dent_total,dent_with_beds,dent_no_beds,gen_beds,gen_ryoyo_beds
2009,03,岩手県,927,163,25,764,609,-,609,2224,293
2009,03201,盛岡市,278,48,5,230,200,-,200,573,62
2009,03214,八幡平市,13,2,-,11,10,-,10,21,-
2009,03301,雫石町,16,4,-,12,7,-,7,54,-
2009,03302,葛巻町,5,1,1,4,3,-,3,19,15
2009,03303,岩手町,12,3,1,9,5,-,5,53,15
2009,03305,滝沢村,29,3,-,26,21,-,21,36,-
2009,03321,紫波町,18,4,-,14,12,-,12,70,-
2009,03322,矢巾町,15,4,1,11,12,-,12,69,12
2009,03205,花巻市,72,12,2,60,39,-,39,183,30
2009,03206,北上市,73,8,2,65,42,-,42,87,24
2009,03208,遠野市,19,2,-,17,10,-,10,19,-
2009,03366,西和賀町,5,2,2,3,2,-,2,29,22
2009,03215,奥州市,89,21,6,68,51,-,51,348,59
2009,03381,金ケ崎町,11,1,-,10,6,-,6,19,-
2009,03209,一関市,85,13,1,72,50,-,50,166,8
2009,03402,平泉町,2,-,-,2,2,-,2,-,-
2009,03422,藤沢町,1,-,-,1,2,-,2,-,-
2009,03203,大船渡市,29,3,-,26,18,-,18,41,-
2009,03210,陸前高田市,10,3,-,7,9,-,9,41,-
2009,03441,住田町,5,1,-,4,2,-,2,19,-
2009,03211,釜石市,19,2,-,17,18,-,18,25,-
2009,03461,大槌町,9,1,-,8,5,-,5,5,-
2009,03202,宮古市,35,7,1,28,23,-,23,93,6
2009,03482,山田町,6,2,1,4,5,-,5,22,6
2009,03483,岩泉町,7,1,-,6,5,-,5,12,-
2009,03484,田野畑村,2,-,-,2,2,-,2,-,-
2009,03487,川井村,2,1,-,1,1,-,1,13,-
2009,03207,久慈市,20,4,1,16,15,-,15,60,18
2009,03485,普代村,2,1,-,1,1,-,1,13,-
2009,03503,野田村,2,-,-,2,1,-,1,-,-
2009,03507,洋野町,5,1,-,4,5,-,5,6,-
2009,03213,二戸市,16,6,1,10,16,-,16,90,16
2009,03501,軽米町,6,-,-,6,3,-,3,-,-
2009,03506,九戸村,2,1,-,1,1,-,1,19,-
2009,03524,一戸町,7,1,-,6,5,-,5,19,-
2010,03,岩手県,918,156,24,762,611,-,611,2133,295
2010,03201,盛岡市,276,48,5,228,200,-,200,575,62
2010,03214,八幡平市,14,2,-,12,10,-,10,21,-
2010,03301,雫石町,14,4,-,10,7,-,7,54,-
2010,03302,葛巻町,5,1,1,4,3,-,3,19,15
2010,03303,岩手町,11,1,1,10,5,-,5,19,15
2010,03305,滝沢村,28,3,-,25,21,-,21,36,-
2010,03321,紫波町,18,4,-,14,12,-,12,70,-
2010,03322,矢巾町,15,4,1,11,13,-,13,69,12
2010,03205,花巻市,70,12,2,58,38,-,38,183,30
2010,03206,北上市,69,8,2,61,44,-,44,87,24
2010,03208,遠野市,19,2,-,17,10,-,10,19,-
2010,03366,西和賀町,6,2,2,4,2,-,2,29,22
2010,03215,奥州市,88,20,5,68,51,-,51,329,61
2010,03381,金ケ崎町,12,1,-,11,6,-,6,19,-
2010,03209,一関市,88,11,1,77,49,-,49,134,8
2010,03402,平泉町,2,-,-,2,2,-,2,-,-
2010,03422,藤沢町,1,-,-,1,2,-,2,-,-
2010,03203,大船渡市,30,2,-,28,18,-,18,38,-
2010,03210,陸前高田市,10,3,-,7,9,-,9,41,-
2010,03441,住田町,5,1,-,4,2,-,2,19,-
2010,03211,釜石市,17,2,-,15,18,-,18,25,-
2010,03461,大槌町,9,1,-,8,6,-,6,5,-
2010,03202,宮古市,35,8,1,27,24,-,24,106,6
2010,03482,山田町,6,2,1,4,5,-,5,22,6
2010,03483,岩泉町,7,1,-,6,5,-,5,12,-
2010,03484,田野畑村,3,-,-,3,2,-,2,-,-
2010,03207,久慈市,20,3,1,17,15,-,15,55,18
2010,03485,普代村,2,1,-,1,1,-,1,13,-
2010,03503,野田村,2,-,-,2,1,-,1,-,-
2010,03507,洋野町,5,1,-,4,5,-,5,6,-
2010,03213,二戸市,16,6,1,10,16,-,16,90,16
2010,03501,軽米町,6,-,-,6,3,-,3,-,-
2010,03506,九戸村,2,1,-,1,1,-,1,19,-
2010,03524,一戸町,7,1,-,6,5,-,5,19,-
2011,03,岩手県,902,150,23,752,580,-,580,2044,289
2011,03201,盛岡市,273,47,5,226,202,-,202,558,62
2011,03214,八幡平市,13,2,-,11,10,-,10,21,-
2011,03301,雫石町,13,4,-,9,6,-,6,54,-
2011,03302,葛巻町,5,1,1,4,3,-,3,19,15
2011,03303,岩手町,12,2,1,10,5,-,5,38,15
2011,03305,滝沢村,28,3,-,25,21,-,21,36,-
2011,03321,紫波町,18,4,-,14,12,-,12,70,-
2011,03322,矢巾町,17,4,1,13,13,-,13,69,12
2011,03205,花巻市,71,11,2,60,36,-,36,171,30
2011,03206,北上市,68,8,2,60,44,-,44,87,24
2011,03208,遠野市,19,2,-,17,10,-,10,19,-
2011,03366,西和賀町,7,2,2,5,2,-,2,29,22
2011,03215,奥州市,89,20,5,69,49,-,49,317,61
2011,03381,金ケ崎町,12,1,-,11,6,-,6,19,-
2011,03209,一関市,86,11,1,75,50,-,50,134,8
2011,03402,平泉町,2,-,-,2,2,-,2,-,-
2011,03203,大船渡市,24,2,-,22,10,-,10,38,-
2011,03210,陸前高田市,7,2,-,5,3,-,3,23,-
2011,03441,住田町,5,1,-,4,2,-,2,19,-
2011,03211,釜石市,15,1,-,14,16,-,16,16,-
2011,03461,大槌町,9,-,-,9,1,-,1,-,-
2011,03202,宮古市,33,8,1,25,22,-,22,93,6
2011,03482,山田町,5,-,-,5,3,-,3,-,-
2011,03483,岩泉町,7,1,-,6,5,-,5,12,-
2011,03484,田野畑村,3,-,-,3,1,-,1,-,-
2011,03207,久慈市,21,3,1,18,15,-,15,55,18
2011,03485,普代村,2,1,-,1,1,-,1,13,-
2011,03503,野田村,2,-,-,2,1,-,1,-,-
2011,03507,洋野町,5,1,-,4,5,-,5,6,-
2011,03213,二戸市,16,6,1,10,15,-,15,90,16
2011,03501,軽米町,6,-,-,6,3,-,3,-,-
2011,03506,九戸村,2,1,-,1,1,-,1,19,-
2011,03524,一戸町,7,1,-,6,5,-,5,19,-
2012,03,岩手県,918,143,22,775,590,-,590,1930,282
2012,03201,盛岡市,274,43,4,231,202,-,202,501,56
2012,03214,八幡平市,14,2,-,12,10,-,10,21,-
2012,03301,雫石町,13,3,-,10,6,-,6,42,-
2012,03302,葛巻町,4,1,1,3,3,-,3,19,15
2012,03303,岩手町,13,2,1,11,5,-,5,38,15
2012,03305,滝沢村,27,3,-,24,21,-,21,36,-
2012,03321,紫波町,18,3,-,15,13,-,13,51,-
2012,03322,矢巾町,17,4,1,13,13,-,13,69,12
2012,03205,花巻市,73,11,2,62,35,-,35,164,29
2012,03206,北上市,68,8,2,60,43,-,43,87,24
2012,03208,遠野市,19,2,-,17,11,-,11,19,-
2012,03366,西和賀町,7,2,2,5,2,-,2,29,22
2012,03215,奥州市,94,20,5,74,50,-,50,317,61
2012,03381,金ケ崎町,12,1,-,11,6,-,6,19,-
2012,03209,一関市,88,10,1,78,50,-,50,115,8
2012,03402,平泉町,2,-,-,2,2,-,2,-,-
2012,03203,大船渡市,26,2,-,24,13,-,13,38,-
2012,03210,陸前高田市,7,2,-,5,6,-,6,23,-
2012,03441,住田町,5,1,-,4,2,-,2,19,-
2012,03211,釜石市,16,1,-,15,16,-,16,16,-
2012,03461,大槌町,9,-,-,9,1,-,1,-,-
2012,03202,宮古市,33,8,1,25,23,-,23,93,6
2012,03482,山田町,5,-,-,5,3,-,3,-,-
2012,03483,岩泉町,7,1,-,6,5,-,5,12,-
2012,03484,田野畑村,3,-,-,3,2,-,2,-,-
2012,03207,久慈市,21,3,1,18,16,-,16,55,18
2012,03485,普代村,2,1,-,1,1,-,1,13,-
2012,03503,野田村,3,-,-,3,1,-,1,-,-
2012,03507,洋野町,6,1,-,5,5,-,5,6,-
2012,03213,二戸市,16,6,1,10,15,-,15,90,16
2012,03501,軽米町,6,-,-,6,3,-,3,-,-
2012,03506,九戸村,3,1,-,2,1,-,1,19,-
2012,03524,一戸町,7,1,-,6,5,-,5,19,-
2013,03,岩手県,923,138,20,785,602,-,602,1883,249
2013,03201,盛岡市,269,42,4,227,204,-,204,517,56
2013,03214,八幡平市,15,2,-,13,10,-,10,21,-
2013,03301,雫石町,11,3,-,8,6,-,6,42,-
2013,03302,葛巻町,4,1,1,3,3,-,3,19,15
2013,03303,岩手町,14,2,1,12,5,-,5,38,15
2013,03305,滝沢村,27,3,-,24,21,-,21,36,-
2013,03321,紫波町,18,3,-,15,13,-,13,51,-
2013,03322,矢巾町,19,3,1,16,14,-,14,50,12
2013,03205,花巻市,73,11,2,62,36,-,36,164,29
2013,03206,北上市,72,8,2,64,43,-,43,87,24
2013,03208,遠野市,19,2,-,17,11,-,11,19,-
2013,03366,西和賀町,7,1,1,6,2,-,2,11,7
2013,03215,奥州市,94,20,5,74,52,-,52,317,61
2013,03381,金ケ崎町,11,1,-,10,6,-,6,19,-
2013,03209,一関市,90,10,1,80,53,-,53,115,8
2013,03402,平泉町,2,-,-,2,2,-,2,-,-
2013,03203,大船渡市,26,2,-,24,14,-,14,38,-
2013,03210,陸前高田市,10,2,-,8,7,-,7,23,-
2013,03441,住田町,5,1,-,4,2,-,2,19,-
2013,03211,釜石市,15,1,-,14,15,-,15,16,-
2013,03461,大槌町,9,-,-,9,2,-,2,-,-
2013,03202,宮古市,34,7,1,27,25,-,25,86,6
2013,03482,山田町,5,-,-,5,3,-,3,-,-
2013,03483,岩泉町,7,1,-,6,5,-,5,12,-
2013,03484,田野畑村,3,-,-,3,2,-,2,-,-
2013,03207,久慈市,21,2,-,19,15,-,15,36,-
2013,03485,普代村,2,1,-,1,1,-,1,13,-
2013,03503,野田村,3,-,-,3,1,-,1,-,-
2013,03507,洋野町,6,1,-,5,5,-,5,6,-
2013,03213,二戸市,16,6,1,10,15,-,15,90,16
2013,03501,軽米町,6,-,-,6,3,-,3,-,-
2013,03506,九戸村,3,1,-,2,1,-,1,19,-
2013,03524,一戸町,7,1,-,6,5,-,5,19,-
2014,03,岩手県,902,123,18,779,594,-,594,1663,219
2014,03201,盛岡市,261,38,3,223,202,-,202,459,38
2014,03214,八幡平市,14,2,-,12,9,-,9,21,-
2014,03301,雫石町,12,3,-,9,6,-,6,42,-
