code,ind,estab,workers
03000,AR,58415,525264
03000,AB,869,10291
03000,A,789,9122
03000,B,80,1169
03000,CR,57546,514973
03000,C,65,784
03000,D,5677,50849
03000,E,3884,90657
03000,F,61,1951
03000,G,432,5762
03000,H,1454,30944
03000,I,15404,108508
03000,J,1003,11973
03000,K,3908,11076
03000,L,1970,10541
03000,M,7095,42697
03000,N,6016,22981
03000,O,1403,11098
03000,P,4772,71471
03000,Q,557,8355
03000,R,3845,35326
03201,AR,15032,146110
03201,AB,62,854
03201,A,57,820
03201,B,5,34
03201,CR,14970,145256
03201,C,8,53
03201,D,1174,10600
03201,E,427,7270
03201,F,14,800
03201,G,205,4201
03201,H,268,8537
03201,I,3966,34673
03201,J,372,6009
03201,K,1578,4807
03201,L,697,4533
03201,M,1958,14162
03201,N,1400,7542
03201,O,488,5374
03201,P,1369,23085
03201,Q,68,772
03201,R,978,12838
03202,AR,2636,20223
03202,AB,32,510
03202,A,19,146
03202,B,13,364
03202,CR,2604,19713
03202,C,5,87
03202,D,254,2418
03202,E,186,3190
03202,F,3,124
03202,G,16,37
03202,H,62,822
03202,I,734,4331
03202,J,52,458
03202,K,203,474
03202,L,75,379
03202,M,342,1682
03202,N,252,766
03202,O,49,246
03202,P,189,3142
03202,Q,33,363
03202,R,149,1194
03203,AR,2471,16744
03203,AB,19,291
03203,A,11,94
03203,B,8,197
03203,CR,2452,16453
03203,C,4,120
03203,D,280,2262
03203,E,182,3100
03203,F,3,52
03203,G,21,127
03203,H,69,861
03203,I,646,3657
03203,J,35,327
03203,K,276,523
03203,L,78,260
03203,M,213,1063
03203,N,226,699
03203,O,64,151
03203,P,155,1868
03203,Q,25,433
03203,R,175,950
03205,AR,4200,38612
03205,AB,64,645
03205,A,62,634
03205,B,2,11
03205,CR,4136,37967
03205,C,3,29
03205,D,338,3026
03205,E,370,8143
03205,F,1,3
03205,G,19,97
03205,H,133,2397
03205,I,1043,8011
03205,J,53,543
03205,K,175,543
03205,L,141,516
03205,M,565,3980
03205,N,504,1642
03205,O,113,628
03205,P,361,5387
03205,Q,45,948
03205,R,272,2074
03206,AR,4309,48317
03206,AB,38,435
03206,A,37,425
03206,B,1,10
03206,CR,4271,47882
03206,C,5,32
03206,D,393,3711
03206,E,394,14209
03206,F,6,180
03206,G,29,315
03206,H,141,3720
03206,I,1033,7678
03206,J,67,792
03206,K,187,782
03206,L,118,583
03206,M,646,3830
03206,N,467,1913
03206,O,128,715
03206,P,333,4216
03206,Q,33,478
03206,R,291,4728
03207,AR,1848,14484
03207,AB,46,464
03207,A,40,346
03207,B,6,118
03207,CR,1802,14020
03207,C,4,30
03207,D,171,2246
03207,E,121,2668
03207,F,1,39
03207,G,10,26
03207,H,42,650
03207,I,508,2777
03207,J,36,252
03207,K,102,219
03207,L,63,302
03207,M,229,1046
03207,N,204,621
03207,O,40,136
03207,P,130,1900
03207,Q,19,242
03207,R,122,866
03208,AR,1357,10544
03208,AB,38,330
03208,A,38,330
03208,B,-,-
03208,CR,1319,10214
03208,C,3,31
03208,D,158,1727
03208,E,115,2372
03208,F,1,26
03208,G,3,30
03208,H,19,239
03208,I,364,1968
03208,J,21,200
03208,K,58,130
03208,L,30,83
03208,M,149,639
03208,N,157,430
03208,O,21,83
03208,P,107,1597
03208,Q,19,234
03208,R,94,425
03209,AR,5402,46842
03209,AB,95,872
03209,A,94,860
03209,B,1,12
03209,CR,5307,45970
03209,C,10,126
03209,D,581,4611
03209,E,442,11405
03209,F,7,117
03209,G,21,267
03209,H,131,2602
