code,ind,estab,workers,sales_mil
03000,AR,52613,502554,...
03000,AB,1059,12427,190400
03000,CR,51554,490127,...
03000,C,64,860,17104
03000,D,5153,46148,...
03000,E,3417,88715,2642879
03000,F,99,1829,...
03000,G,403,5207,...
03000,G1,181,1863,...
03000,G2,222,3344,42819
03000,H,1367,28593,...
03000,I,13330,102383,3598289
03000,J,932,11419,...
03000,K,3670,11303,227612
03000,L,1914,10169,145874
03000,M,5786,34999,151259
03000,N,5307,20251,230406
03000,O,1249,12325,...
03000,O1,215,8284,...
03000,O2,1034,4041,17071
03000,P,4747,73410,1146936
03000,Q,507,6518,...
03000,Q1,410,3647,...
03000,Q2,97,2871,25849
03000,R,3609,35998,...
03000,R1,1456,4920,...
03000,R2,2153,31078,241182
03201,AR,13537,136478,...
03201,AB,69,1006,15661
03201,CR,13468,135472,...
03201,C,9,60,1240
03201,D,1081,9879,...
03201,E,358,6284,121411
03201,F,28,836,...
03201,G,200,3925,...
03201,G1,76,1366,...
03201,G2,124,2559,33183
03201,H,242,7649,...
03201,I,3457,31024,1281729
03201,J,361,6003,...
03201,K,1485,5088,120495
03201,L,725,4730,61171
03201,M,1532,11923,51469
03201,N,1219,6955,76966
03201,O,450,5014,...
03201,O1,79,3257,...
03201,O2,371,1757,7284
03201,P,1371,22286,812817
03201,Q,59,626,...
03201,Q1,50,545,...
03201,Q2,9,81,1487
03201,R,891,13190,...
03201,R1,335,1736,...
03201,R2,556,11454,98574
03202,AR,2336,18886,...
03202,AB,30,375,5512
03202,CR,2306,18511,...
03202,C,5,67,1266
03202,D,215,2037,...
03202,E,162,3033,76072
03202,F,4,95,...
03202,G,14,32,...
03202,G1,12,24,...
03202,G2,2,8,X
03202,H,59,786,...
03202,I,642,4186,129244
03202,J,41,380,...
03202,K,187,464,8866
03202,L,65,314,4656
03202,M,285,1500,6107
03202,N,229,686,9155
03202,O,40,300,...
03202,O1,7,190,...
03202,O2,33,110,596
03202,P,202,3189,20219
03202,Q,30,263,...
03202,Q1,25,230,...
03202,Q2,5,33,594
03202,R,126,1179,...
03202,R1,51,146,...
03202,R2,75,1033,5546
03203,AR,2080,14606,...
03203,AB,21,195,3299
03203,CR,2059,14411,...
03203,C,4,128,3731
03203,D,228,1850,...
03203,E,167,2991,58825
03203,F,5,63,...
03203,G,16,90,...
03203,G1,10,55,...
03203,G2,6,35,295
03203,H,59,813,...
03203,I,520,3124,85917
03203,J,31,285,...
03203,K,211,430,6029
03203,L,74,278,2319
03203,M,181,896,4052
03203,N,206,648,7866
03203,O,47,195,...
03203,O1,5,94,...
03203,O2,42,101,291
03203,P,138,1574,10440
03203,Q,17,293,...
03203,Q1,11,128,...
03203,Q2,6,165,2163
03203,R,155,753,...
03203,R1,60,178,...
03203,R2,95,575,6139
03205,AR,3809,36925,...
03205,AB,106,1205,7358
03205,CR,3703,35720,...
03205,C,3,29,302
03205,D,299,2812,...
03205,E,328,8214,224891
03205,F,7,26,...
03205,G,16,115,...
03205,G1,8,46,...
03205,G2,8,69,422
03205,H,125,2364,...
03205,I,933,7549,251080
03205,J,52,532,...
03205,K,175,502,6704
03205,L,144,792,9016
03205,M,481,2968,14274
03205,N,428,1304,13482
03205,O,83,702,...
03205,O1,17,491,...
03205,O2,66,211,1362
03205,P,340,5273,34860
03205,Q,42,575,...
03205,Q1,30,290,...
03205,Q2,12,285,2544
03205,R,247,1963,...
03205,R1,118,338,...
03205,R2,129,1625,8116
03206,AR,3841,48651,...
03206,AB,38,462,5037
03206,CR,3803,48189,...
03206,C,5,63,499
03206,D,363,3559,...
03206,E,358,14634,452811
03206,F,5,121,...
03206,G,26,309,...
03206,G1,13,39,...
03206,G2,13,270,3576
03206,H,156,4090,...
03206,I,923,7603,332744
03206,J,64,711,...
03206,K,183,796,18352
03206,L,119,637,7441
03206,M,493,3191,15243
03206,N,390,1502,24057
03206,O,103,605,...
03206,O1,10,296,...
03206,O2,93,309,1147
03206,P,315,4311,28576
03206,Q,29,397,...
03206,Q1,24,285,...
03206,Q2,5,112,1436
03206,R,271,5660,...
03206,R1,79,217,...
03206,R2,192,5443,37720
03207,AR,1663,13700,...
03207,AB,53,551,4980
03207,CR,1610,13149,...
03207,C,4,30,819
03207,D,159,2001,...
03207,E,100,2633,54995
03207,F,7,42,...
03207,G,8,17,...
03207,G1,8,17,...
03207,G2,-,-,-
03207,H,45,624,...
03207,I,420,2589,68930
03207,J,31,220,...
03207,K,112,244,5647
03207,L,61,239,3009
03207,M,186,787,3114
03207,N,185,518,10454
03207,O,40,238,...
03207,O1,7,133,...
03207,O2,33,105,528
03207,P,125,1835,11224
03207,Q,21,228,...
03207,Q1,16,193,...
03207,Q2,5,35,378
03207,R,106,904,...
03207,R1,39,88,...
03207,R2,67,816,7273
03208,AR,1175,9381,...
03208,AB,35,419,3337
03208,CR,1140,8962,...
03208,C,3,26,432
03208,D,142,1434,...
03208,E,89,2387,62026
03208,F,1,19,...
03208,G,4,38,...
03208,G1,2,25,...
03208,G2,2,13,X
03208,H,18,213,...
03208,I,296,1532,33640
03208,J,19,173,...
03208,K,61,134,1674
03208,L,32,107,648
03208,M,116,469,2076
03208,N,130,356,5146
03208,O,21,112,...
03208,O1,3,35,...
03208,O2,18,77,338
03208,P,106,1408,7084
03208,Q,16,180,...
03208,Q1,14,118,...
03208,Q2,2,62,X
03208,R,86,374,...
03208,R1,47,126,...
03208,R2,39,248,1899
03209,AR,4722,44127,...
03209,AB,106,1234,18931
03209,CR,4616,42893,...
03209,C,9,216,3803
03209,D,501,4124,...
03209,E,399,10859,198133
03209,F,8,97,...
03209,G,20,160,...
03209,G1,10,103,...
03209,G2,10,57,1293
03209,H,128,2422,...
03209,I,1214,8252,206579
03209,J,63,803,...
03209,K,253,694,9359
03209,L,145,597,6292
03209,M,492,2719,11112
03209,N,502,1677,17293
03209,O,106,996,...
03209,O1,22,643,...
03209,O2,84,353,1166
03209,P,418,5880,36638
03209,Q,47,1051,...
03209,Q1,45,460,...
03209,Q2,2,591,X
03209,R,311,2346,...
03209,R1,142,392,...
03209,R2,169,1954,11622
03210,AR,664,5591,...
03210,AB,16,259,979
03210,CR,648,5332,...
03210,C,3,14,254
03210,D,86,910,...
03210,E,60,898,20266
03210,F,-,-,...
03210,G,4,11,...
03210,G1,2,4,...
03210,G2,2,7,X
03210,H,6,102,...
03210,I,155,977,24842
03210,J,10,67,...
03210,K,20,68,3105
03210,L,23,113,930
03210,M,58,325,990
03210,N,75,189,1723
03210,O,11,56,...
03210,O1,-,-,...
03210,O2,11,56,324
03210,P,66,1190,5613
03210,Q,11,129,...
03210,Q1,8,78,...
03210,Q2,3,51,774
03210,R,60,283,...
03210,R1,38,118,...
03210,R2,22,165,713
03211,AR,1617,14548,...
03211,AB,13,178,3566
