code,year,grad_total,grad_jhs,grad_hs,grad_col,grad_univ
03201,2010,234172,33409,100873,33694,40195
03201,2020,228488,25253,96181,36831,49656
03202,2010,49568,17919,23353,4082,3557
03202,2020,43063,12076,20375,4346,3960
03203,2010,33689,11263,16707,2875,2516
03203,2020,29821,6600,14113,3167,2986
03205,2010,83028,20387,41168,9253,7951
03205,2020,77642,13726,40221,9970,9428
03206,2010,74459,15626,39287,8836,7809
03206,2020,75328,9563,34782,9597,9402
03207,2010,30028,11560,13464,2613,2081
03207,2020,27479,8383,12532,2795,2383
03208,2010,24803,9748,11354,2194,1462
03208,2020,21917,6583,10361,2473,1750
03209,2010,97987,28147,51222,9288,7871
03209,2020,94510,21010,50278,10631,9652
03210,2010,19680,7442,8888,1785,1332
03210,2020,15925,4484,7817,1804,1506
03211,2010,33873,11370,16767,3086,2555
03211,2020,27980,6982,13875,2967,2796
03213,2010,24659,9944,10799,2205,1630
03213,2020,21823,7005,10034,2385,1932
03214,2010,24338,10783,10366,1849,1258
03214,2020,21013,7592,9592,2127,1474
03215,2010,102755,26816,55614,10348,8005
03215,2020,95027,18200,52804,11356,9561
03216,2020,43589,7174,21610,6544,5446
03301,2010,15032,5319,7088,1403,950
03301,2020,13508,3878,6664,1539,1127
03302,2010,6398,3776,1954,418,248
03302,2020,5044,2401,1797,438,257
03303,2010,12546,5910,5060,895,611
03303,2020,10685,4284,4726,939,701
03305,2010,41153,7978,22334,5311,4281
03321,2010,26863,5581,14761,3110,2491
03321,2020,26612,3913,13109,3742,3158
03322,2010,21062,4013,11296,2830,2449
03322,2020,21716,3471,10666,3438,3365
03366,2010,5801,2745,2265,500,284
03366,2020,4650,1718,2062,489,311
03381,2010,13322,3428,7060,1426,963
03381,2020,12828,1987,6538,1592,1169
03402,2010,6989,2338,3552,594,404
03402,2020,6171,1586,3395,616,501
03422,2010,7722,3256,3454,599,406
03441,2010,5372,2466,2085,512,297
03441,2020,4526,1613,2037,521,352
03461,2010,12880,5026,6203,1066,578
03461,2020,9496,2967,4786,952,594
03482,2010,15579,6486,7139,1185,692
03482,2020,12453,3882,5627,1257,689
03483,2010,9336,4881,3314,600,500
03483,2020,7722,3233,3172,662,561
03484,2010,3261,1606,1252,236,134
03484,2020,2669,1087,1093,255,163
03485,2010,2611,1303,1062,158,88
03485,2020,2196,896,865,163,95
03501,2010,8656,4523,3142,668,313
03501,2020,7392,3102,3120,742,389
03503,2010,3848,1869,1548,277,143
03503,2020,3382,1317,1457,311,203
03506,2010,5493,2669,2260,390,163
03506,2020,4677,1920,2071,466,198
03507,2010,14860,7520,5728,1031,575
03507,2020,13173,5891,5470,1156,652
03524,2010,12082,5782,4626,968,634
03524,2020,9952,3894,4355,985,655
