code,year,fiscal_index,current_ratio,debt_ratio,revenue,expenditure,bond_balance,local_grant,staff
03201,2010,0.68,90.4,13.3,107117558,104336542,130470292,19027420,1400
03201,2011,0.67,94.3,13.6,114171023,112056912,130671597,19105267,1396
03201,2012,0.66,91.7,13.3,110786605,108909633,130725763,19282161,1399
03201,2013,0.67,92.9,12.6,110110147,108529321,130133858,17849717,1383
03201,2014,0.69,93.2,11.2,112499547,110007418,130695727,16703404,1401
03201,2015,0.72,94.6,10.4,114689418,112572210,132051241,15238281,1415
03201,2016,0.73,92.3,9.6,113085487,111524298,131943152,14719665,1416
03201,2017,0.74,94.4,9.5,110886019,109255976,130960250,13987675,1359
03201,2018,0.75,95.1,9.3,112067865,110325183,131002651,13338889,1349
03201,2019,0.75,96.3,9.5,116955668,115998661,133374073,13948042,1350
03201,2020,0.75,96.0,9.7,154591410,153178536,135325041,14261093,1356
03201,2021,0.74,92.1,9.9,139109169,136553886,138714290,16821853,1350
03201,2022,0.73,96.4,10.2,139303721,136577158,140306450,16082676,1367
03202,2010,0.34,81.5,14.2,30643113,29512783,38948706,12874711,481
03202,2011,0.32,88.1,12.9,56812211,50736324,38090123,20432779,488
03202,2012,0.31,88.2,11.9,105233760,98015157,37068719,22124833,466
03202,2013,0.32,92.6,11.6,88174977,82644459,35862675,16810337,478
03202,2014,0.32,93.8,11.6,75237331,70381363,34184006,16668311,480
03202,2015,0.35,92.4,11.7,70935318,63959423,34194456,17529187,484
03202,2016,0.36,90.8,11.4,65116441,60434508,36024635,15996371,473
03202,2017,0.38,90.8,10.7,55428915,52095694,39413981,12566964,468
03202,2018,0.38,91.8,9.7,46204939,43840141,42397059,12740136,466
03202,2019,0.39,93.0,8.8,42372399,40561463,45106413,12336251,452
03202,2020,0.39,93.0,8.2,48773098,46585065,46960788,12235201,454
03202,2021,0.38,92.2,8.3,40335627,38962170,45367497,11989719,453
03202,2022,0.37,93.5,9.1,36499262,35137801,44577578,11634130,463
03203,2010,0.41,85.6,11.3,18765669,18126947,22416944,6629993,269
03203,2011,0.39,93.9,11.7,57726717,48984254,21896218,15062218,276
03203,2012,0.38,88.4,11.6,102517635,89347858,21219896,17036402,259
03203,2013,0.39,86.7,12.5,84208833,70803575,21053410,9504616,264
03203,2014,0.42,92.9,11.8,67662916,58532596,20599283,10469461,267
03203,2015,0.45,89.9,10.9,66337538,56423974,21498545,8903762,261
03203,2016,0.46,92.7,10.6,62096340,56524636,23556066,10741515,262
03203,2017,0.46,92.6,10.8,44348857,40327005,23481477,9312061,265
03203,2018,0.46,92.0,11.8,33085391,31294200,23586927,8418175,269
03203,2019,0.46,92.9,11.7,26466799,24824819,23581157,7105943,269
03203,2020,0.46,93.3,11.9,30948822,28881191,23465428,6982219,265
03203,2021,0.46,89.4,11.6,24150487,23181124,23484549,6760398,272
03203,2022,0.45,94.9,12.0,24912781,24210517,24013315,6639495,272
03205,2010,0.45,81.9,18.2,48544356,46429811,59191610,16574171,658
03205,2011,0.43,82.9,16.1,50100597,48076555,58529151,17054146,640
03205,2012,0.43,83.8,14.2,45949297,43809372,55997183,16821521,621
03205,2013,0.43,82.7,12.4,46732712,44642271,54104921,16642915,608
03205,2014,0.44,86.0,11.3,50443387,48362801,53295875,18006625,605
03205,2015,0.45,87.1,10.5,51147665,49268565,53328358,15507827,601
03205,2016,0.45,87.3,9.9,51347081,49366876,54113981,15188326,602
03205,2017,0.46,88.1,9.8,50929302,48968543,54546158,14532554,597
03205,2018,0.47,90.6,9.5,50018384,48675275,55323158,13783023,603
03205,2019,0.47,92.7,9.3,49560769,48141579,56540709,13771640,596
03205,2020,0.48,86.1,8.6,64191672,62602892,56657117,13959842,595
03205,2021,0.47,83.9,8.3,58733269,55977366,55970657,14886100,592
03205,2022,0.46,90.3,8.4,57795188,54863508,53899600,14826774,596
03206,2010,0.68,79.6,12.5,43615366,42486057,48679077,7172593,432
03206,2011,0.65,84.5,14.2,35229507,33667617,46857878,7854160,433
03206,2012,0.63,83.5,15.9,35623638,34241944,44731337,7040937,435
03206,2013,0.65,85.8,16.8,40322877,38839876,43215174,6493654,446
03206,2014,0.66,88.5,16.6,40375179,39374781,39599342,8163179,457
03206,2015,0.67,89.5,16.1,38649947,37613409,37415784,6677849,480
