code,capacity,applicants,waiting,on_leave,specific_only,job_paused
03201,7438,6512,0,0,43,2
03202,1190,799,0,0,0,0
03203,755,588,0,0,0,0
03205,2277,1940,0,0,9,0
03206,2277,2124,0,0,7,0
03207,760,578,0,0,0,0
03208,510,469,0,0,0,0
03209,2595,1983,0,0,6,0
03210,446,346,0,0,0,0
03211,643,517,0,0,0,0
03213,728,439,0,0,0,0
03214,641,357,0,0,0,0
03215,2931,2336,0,0,8,0
03216,1617,1537,0,0,0,0
03301,320,292,0,0,0,0
03302,130,78,0,0,0,0
03303,275,202,0,0,0,0
03321,890,967,0,0,15,0
03322,1118,696,0,0,1,0
03366,80,53,0,0,0,0
03381,485,381,0,0,0,0
03402,191,120,0,0,0,0
03441,87,69,0,0,0,0
03461,273,187,0,0,0,0
03482,339,285,0,0,0,0
03483,197,111,0,0,0,0
03484,42,32,0,0,0,0
03485,55,34,0,0,0,0
03501,225,119,0,0,0,0
03503,110,98,0,0,0,0
03506,140,67,0,0,0,0
03507,254,210,0,0,0,0
03524,240,165,0,0,0,0
