code,kind,corps
03201,その他,91
03201,その他の設立登記法人,1138
03201,合同会社,733
03201,合名会社,15
03201,合資会社,132
03201,国の機関,5
03201,地方公共団体,11
03201,外国会社等,0
03201,有限会社,2959
03201,株式会社,3440
03202,その他,4
03202,その他の設立登記法人,199
03202,合同会社,77
03202,合名会社,12
03202,合資会社,41
03202,国の機関,1
03202,地方公共団体,6
03202,外国会社等,0
03202,有限会社,369
03202,株式会社,348
03203,その他,13
03203,その他の設立登記法人,161
03203,合同会社,36
03203,合名会社,11
03203,合資会社,32
03203,国の機関,1
03203,地方公共団体,4
03203,外国会社等,0
03203,有限会社,294
03203,株式会社,360
03205,その他,21
03205,その他の設立登記法人,495
03205,合同会社,113
03205,合名会社,14
03205,合資会社,56
03205,国の機関,1
03205,地方公共団体,2
03205,外国会社等,0
03205,有限会社,772
03205,株式会社,862
03206,その他,16
03206,その他の設立登記法人,285
03206,合同会社,147
03206,合名会社,6
03206,合資会社,46
03206,国の機関,0
03206,地方公共団体,4
03206,外国会社等,0
03206,有限会社,659
03206,株式会社,844
03207,その他,8
03207,その他の設立登記法人,146
03207,合同会社,36
03207,合名会社,2
03207,合資会社,14
03207,国の機関,1
03207,地方公共団体,2
03207,外国会社等,0
03207,有限会社,328
03207,株式会社,251
03208,その他,15
03208,その他の設立登記法人,194
03208,合同会社,36
03208,合名会社,4
03208,合資会社,24
03208,国の機関,1
03208,地方公共団体,1
03208,外国会社等,0
03208,有限会社,210
03208,株式会社,184
03209,その他,39
03209,その他の設立登記法人,515
03209,合同会社,131
03209,合名会社,12
03209,合資会社,86
03209,国の機関,2
03209,地方公共団体,2
03209,外国会社等,0
03209,有限会社,948
03209,株式会社,783
03210,その他,5
03210,その他の設立登記法人,124
03210,合同会社,24
03210,合名会社,0
03210,合資会社,3
03210,国の機関,0
03210,地方公共団体,1
03210,外国会社等,0
03210,有限会社,106
03210,株式会社,158
03211,その他,5
03211,その他の設立登記法人,164
03211,合同会社,25
03211,合名会社,9
03211,合資会社,20
03211,国の機関,1
03211,地方公共団体,5
03211,外国会社等,0
03211,有限会社,350
03211,株式会社,280
03213,その他,5
03213,その他の設立登記法人,115
03213,合同会社,16
03213,合名会社,0
03213,合資会社,7
03213,国の機関,2
03213,地方公共団体,2
03213,外国会社等,0
03213,有限会社,228
03213,株式会社,203
03214,その他,5
03214,その他の設立登記法人,117
03214,合同会社,57
03214,合名会社,4
03214,合資会社,14
03214,国の機関,0
03214,地方公共団体,2
03214,外国会社等,0
03214,有限会社,185
03214,株式会社,219
03215,その他,23
03215,その他の設立登記法人,490
03215,合同会社,154
03215,合名会社,8
03215,合資会社,90
03215,国の機関,1
03215,地方公共団体,3
03215,外国会社等,0
03215,有限会社,1013
03215,株式会社,883
03216,その他,5
03216,その他の設立登記法人,88
03216,合同会社,96
03216,合名会社,0
03216,合資会社,5
03216,国の機関,0
03216,地方公共団体,3
03216,外国会社等,0
03216,有限会社,431
03216,株式会社,386
03301,その他,3
03301,その他の設立登記法人,74
03301,合同会社,17
03301,合名会社,0
03301,合資会社,7
03301,国の機関,0
03301,地方公共団体,3
03301,外国会社等,0
03301,有限会社,154
03301,株式会社,132
03302,その他,0
03302,その他の設立登記法人,28
03302,合同会社,3
03302,合名会社,1
03302,合資会社,1
03302,国の機関,0
03302,地方公共団体,1
03302,外国会社等,0
03302,有限会社,38
03302,株式会社,27
03303,その他,3
03303,その他の設立登記法人,55
03303,合同会社,14
03303,合名会社,3
03303,合資会社,2
03303,国の機関,0
03303,地方公共団体,1
03303,外国会社等,0
03303,有限会社,92
03303,株式会社,69
03321,その他,8
03321,その他の設立登記法人,140
03321,合同会社,46
03321,合名会社,4
03321,合資会社,11
03321,国の機関,0
03321,地方公共団体,1
03321,外国会社等,0
03321,有限会社,194
03321,株式会社,219
03322,その他,8
03322,その他の設立登記法人,119
03322,合同会社,38
03322,合名会社,0
03322,合資会社,4
03322,国の機関,0
03322,地方公共団体,2
03322,外国会社等,0
03322,有限会社,205
03322,株式会社,290
03366,その他,5
03366,その他の設立登記法人,72
03366,合同会社,2
03366,合名会社,2
03366,合資会社,2
03366,国の機関,0
03366,地方公共団体,1
03366,外国会社等,0
03366,有限会社,60
03366,株式会社,36
03381,その他,5
03381,その他の設立登記法人,68
03381,合同会社,21
03381,合名会社,0
03381,合資会社,2
03381,国の機関,0
03381,地方公共団体,1
03381,外国会社等,0
03381,有限会社,87
03381,株式会社,101
03402,その他,2
03402,その他の設立登記法人,69
03402,合同会社,14
03402,合名会社,0
03402,合資会社,1
03402,国の機関,0
03402,地方公共団体,1
03402,外国会社等,0
03402,有限会社,69
03402,株式会社,48
03441,その他,2
03441,その他の設立登記法人,36
03441,合同会社,4
03441,合名会社,0
03441,合資会社,5
03441,国の機関,0
03441,地方公共団体,1
03441,外国会社等,0
03441,有限会社,43
03441,株式会社,22
03461,その他,1
03461,その他の設立登記法人,71
03461,合同会社,14
03461,合名会社,1
03461,合資会社,4
03461,国の機関,0
03461,地方公共団体,1
03461,外国会社等,0
03461,有限会社,93
03461,株式会社,83
03482,その他,0
03482,その他の設立登記法人,65
03482,合同会社,12
03482,合名会社,1
03482,合資会社,0
03482,国の機関,0
03482,地方公共団体,1
03482,外国会社等,0
03482,有限会社,113
03482,株式会社,112
03483,その他,5
03483,その他の設立登記法人,60
03483,合同会社,5
03483,合名会社,3
03483,合資会社,5
03483,国の機関,0
03483,地方公共団体,2
03483,外国会社等,0
03483,有限会社,78
03483,株式会社,56
03484,その他,0
03484,その他の設立登記法人,22
03484,合同会社,3
03484,合名会社,0
03484,合資会社,0
03484,国の機関,0
03484,地方公共団体,1
03484,外国会社等,0
03484,有限会社,20
03484,株式会社,25
03485,その他,1
03485,その他の設立登記法人,13
03485,合同会社,4
03485,合名会社,1
03485,合資会社,7
03485,国の機関,0
03485,地方公共団体,1
03485,外国会社等,0
03485,有限会社,13
03485,株式会社,17
03501,その他,1
03501,その他の設立登記法人,41
03501,合同会社,16
03501,合名会社,0
03501,合資会社,8
03501,国の機関,0
03501,地方公共団体,1
03501,外国会社等,0
03501,有限会社,67
03501,株式会社,55
03503,その他,2
03503,その他の設立登記法人,17
03503,合同会社,2
03503,合名会社,1
03503,合資会社,1
03503,国の機関,0
03503,地方公共団体,1
03503,外国会社等,0
03503,有限会社,26
03503,株式会社,19
03506,その他,2
03506,その他の設立登記法人,22
03506,合同会社,13
03506,合名会社,0
03506,合資会社,0
03506,国の機関,0
03506,地方公共団体,4
03506,外国会社等,0
03506,有限会社,37
03506,株式会社,29
03507,その他,2
03507,その他の設立登記法人,63
03507,合同会社,21
03507,合名会社,1
03507,合資会社,6
03507,国の機関,0
03507,地方公共団体,1
03507,外国会社等,0
03507,有限会社,103
03507,株式会社,105
03524,その他,2
03524,その他の設立登記法人,44
03524,合同会社,18
03524,合名会社,2
03524,合資会社,5
03524,国の機関,0
03524,地方公共団体,1
03524,外国会社等,0
03524,有限会社,91
03524,株式会社,80
