code,type,facilities,with_url
03201,助産所,2,1
03201,歯科,180,110
03201,病院,25,24
03201,薬局,194,121
03201,診療所,229,144
03202,助産所,1,0
03202,歯科,13,1
03202,病院,3,3
03202,薬局,26,11
03202,診療所,22,5
03203,助産所,0,0
03203,歯科,14,2
03203,病院,1,1
03203,薬局,17,8
03203,診療所,25,7
03205,助産所,2,1
03205,歯科,34,10
03205,病院,5,5
03205,薬局,57,31
03205,診療所,63,31
03206,助産所,2,1
03206,歯科,35,15
03206,病院,4,4
03206,薬局,49,32
03206,診療所,63,35
03207,助産所,0,0
03207,歯科,14,2
03207,病院,3,3
03207,薬局,12,5
03207,診療所,14,6
03208,助産所,1,1
03208,歯科,9,3
03208,病院,2,2
03208,薬局,12,7
03208,診療所,16,6
03209,助産所,2,2
03209,歯科,40,20
03209,病院,8,8
03209,薬局,54,31
03209,診療所,56,31
03210,助産所,0,0
03210,歯科,6,1
03210,病院,1,1
03210,薬局,8,5
03210,診療所,7,2
03211,助産所,1,0
03211,歯科,7,2
03211,病院,3,3
03211,薬局,15,8
03211,診療所,14,3
03213,助産所,1,1
03213,歯科,12,1
03213,病院,1,1
03213,薬局,17,12
03213,診療所,15,11
03214,助産所,1,0
03214,歯科,9,3
03214,病院,2,2
03214,薬局,13,7
03214,診療所,9,5
03215,助産所,1,0
03215,歯科,51,19
03215,病院,9,8
03215,薬局,59,44
03215,診療所,83,24
03216,助産所,1,0
03216,歯科,19,7
03216,病院,2,2
03216,薬局,17,9
03216,診療所,19,8
03301,助産所,0,0
03301,歯科,4,1
03301,病院,2,2
03301,薬局,5,4
03301,診療所,6,1
03302,助産所,0,0
03302,歯科,2,1
03302,病院,1,1
03302,薬局,1,1
03302,診療所,1,1
03303,助産所,0,0
03303,歯科,4,2
03303,病院,0,0
03303,薬局,4,4
03303,診療所,11,5
03321,助産所,2,0
03321,歯科,12,3
03321,病院,1,1
03321,薬局,12,8
03321,診療所,19,8
03322,助産所,0,0
03322,歯科,12,5
03322,病院,4,4
03322,薬局,16,5
03322,診療所,17,10
03366,助産所,0,0
03366,歯科,2,0
03366,病院,1,1
03366,薬局,3,1
03366,診療所,5,3
03381,助産所,0,0
03381,歯科,5,2
03381,病院,0,0
03381,薬局,2,0
03381,診療所,10,4
03402,助産所,0,0
03402,歯科,2,0
03402,病院,0,0
03402,薬局,1,1
03402,診療所,1,0
03441,助産所,0,0
03441,歯科,2,0
03441,病院,0,0
03441,薬局,1,1
03441,診療所,1,1
03461,助産所,0,0
03461,歯科,3,1
03461,病院,1,1
03461,薬局,6,2
03461,診療所,6,0
03482,助産所,0,0
03482,歯科,0,0
03482,病院,1,1
03482,薬局,4,1
03482,診療所,2,0
03483,助産所,0,0
03483,歯科,3,1
03483,病院,1,1
03483,薬局,1,1
03483,診療所,6,1
03484,助産所,0,0
03484,歯科,2,0
03484,病院,0,0
03484,薬局,1,1
03484,診療所,2,1
03485,助産所,0,0
03485,歯科,1,0
03485,病院,0,0
03485,薬局,2,0
03485,診療所,2,0
03501,助産所,0,0
03501,歯科,3,0
03501,病院,1,1
03501,薬局,4,1
03501,診療所,4,0
03503,助産所,0,0
03503,歯科,1,1
03503,病院,0,0
03503,薬局,2,0
03503,診療所,3,0
03506,助産所,0,0
03506,歯科,0,0
03506,病院,0,0
03506,薬局,3,1
03506,診療所,3,2
03507,助産所,0,0
03507,歯科,6,1
03507,病院,1,0
03507,薬局,2,1
03507,診療所,5,1
03524,助産所,0,0
03524,歯科,5,3
03524,病院,1,1
03524,薬局,5,5
03524,診療所,8,2
