snapshot,code,service,offices,capacity
2024-12,03201,介護医療院,4,18
2024-12,03201,介護老人保健施設,9,100
2024-12,03201,介護老人福祉施設,22,537
2024-12,03201,地域密着型介護老人福祉施設入所者生活介護,4,58
2024-12,03201,地域密着型通所介護,52,891
2024-12,03201,定期巡回・随時対応型訪問介護看護,3,0
2024-12,03201,小規模多機能型居宅介護,9,87
2024-12,03201,居宅介護支援,96,1960
2024-12,03201,特定施設入居者生活介護（サービス付き高齢者向け住宅・外部サービス利用型）,1,0
2024-12,03201,特定施設入居者生活介護（サービス付き高齢者向け住宅）,2,0
2024-12,03201,特定施設入居者生活介護（有料老人ホーム）,8,207
2024-12,03201,特定施設入居者生活介護（軽費老人ホーム）,3,56
2024-12,03201,特定福祉用具販売,18,0
2024-12,03201,看護小規模多機能型居宅介護,2,0
2024-12,03201,短期入所生活介護,32,321
2024-12,03201,短期入所療養介護（介護医療院）,2,0
2024-12,03201,短期入所療養介護（介護老人保健施設）,9,5
2024-12,03201,福祉用具貸与,18,0
2024-12,03201,訪問リハビリテーション,21,192
2024-12,03201,訪問介護,113,723
2024-12,03201,訪問入浴介護,2,0
2024-12,03201,訪問看護,49,530
2024-12,03201,認知症対応型共同生活介護,29,222
2024-12,03201,認知症対応型通所介護,3,24
2024-12,03201,通所リハビリテーション,25,330
2024-12,03201,通所介護,80,742
2024-12,03202,介護老人保健施設,2,196
2024-12,03202,介護老人福祉施設,5,103
2024-12,03202,地域密着型介護老人福祉施設入所者生活介護,2,0
2024-12,03202,地域密着型特定施設入居者生活介護（有料老人ホーム）,1,21
2024-12,03202,地域密着型通所介護,11,46
2024-12,03202,小規模多機能型居宅介護,6,58
2024-12,03202,居宅介護支援,22,505
2024-12,03202,特定福祉用具販売,6,0
2024-12,03202,短期入所生活介護,7,12
2024-12,03202,短期入所療養介護（介護老人保健施設）,2,5
2024-12,03202,福祉用具貸与,6,0
2024-12,03202,訪問リハビリテーション,2,8
2024-12,03202,訪問介護,17,16
2024-12,03202,訪問入浴介護,2,0
2024-12,03202,訪問看護,8,53
2024-12,03202,認知症対応型共同生活介護,19,108
2024-12,03202,認知症対応型通所介護,3,3
2024-12,03202,通所リハビリテーション,3,80
2024-12,03202,通所介護,9,135
2024-12,03203,介護老人保健施設,1,0
2024-12,03203,介護老人福祉施設,5,0
2024-12,03203,地域密着型介護老人福祉施設入所者生活介護,2,0
2024-12,03203,地域密着型通所介護,7,32
2024-12,03203,小規模多機能型居宅介護,7,0
2024-12,03203,居宅介護支援,10,140
2024-12,03203,特定福祉用具販売,3,0
2024-12,03203,短期入所生活介護,6,0
2024-12,03203,短期入所療養介護（介護老人保健施設）,1,0
2024-12,03203,福祉用具貸与,3,0
2024-12,03203,訪問リハビリテーション,1,0
2024-12,03203,訪問介護,6,30
2024-12,03203,訪問入浴介護,1,30
2024-12,03203,訪問看護,3,0
2024-12,03203,認知症対応型共同生活介護,6,9
2024-12,03203,通所リハビリテーション,1,0
2024-12,03203,通所介護,5,0
2024-12,03205,介護老人保健施設,6,235
2024-12,03205,介護老人福祉施設,9,84
2024-12,03205,地域密着型介護老人福祉施設入所者生活介護,10,87
2024-12,03205,地域密着型通所介護,12,78
2024-12,03205,小規模多機能型居宅介護,5,102
2024-12,03205,居宅介護支援,27,803
2024-12,03205,特定施設入居者生活介護（有料老人ホーム）,1,85
2024-12,03205,特定施設入居者生活介護（軽費老人ホーム）,2,0
2024-12,03205,特定福祉用具販売,3,0
2024-12,03205,看護小規模多機能型居宅介護,1,29
2024-12,03205,短期入所生活介護,23,109
2024-12,03205,短期入所療養介護（介護老人保健施設）,6,0
2024-12,03205,福祉用具貸与,3,0
2024-12,03205,訪問リハビリテーション,2,0
2024-12,03205,訪問介護,23,158
2024-12,03205,訪問入浴介護,6,7
2024-12,03205,訪問看護,5,140
2024-12,03205,認知症対応型共同生活介護,17,162
2024-12,03205,認知症対応型通所介護,2,3
2024-12,03205,通所リハビリテーション,9,280
2024-12,03205,通所介護,25,291
2024-12,03206,介護老人保健施設,3,104
2024-12,03206,介護老人福祉施設,5,110
