year,code,total,households,births,deaths,in_total,out_total
2026,03000,1136186,534947,4855,19575,33961,36818
2026,03201,274941,138820,1474,3738,10104,10274
2026,03202,44562,22204,182,966,989,1275
2026,03203,31392,14655,128,636,802,955
2026,03205,88618,39107,410,1538,2404,2536
2026,03206,90504,42603,449,1233,3754,3541
2026,03207,30587,15253,123,559,802,998
2026,03208,23301,10568,75,532,493,660
2026,03209,103421,46178,377,1990,2494,2963
2026,03210,16802,7530,57,368,338,449
2026,03211,28097,15133,93,647,778,1062
2026,03213,23587,11593,69,441,552,747
2026,03214,22802,10849,68,455,801,740
2026,03215,106116,46712,393,2028,2502,2547
2026,03216,53876,24252,238,582,1845,2030
2026,03301,14679,6360,57,302,291,356
2026,03302,5115,2585,10,140,82,134
2026,03303,11192,5220,25,259,266,368
2026,03321,32419,13214,168,457,955,932
2026,03322,26060,11362,139,325,1190,1105
2026,03366,4486,2123,11,147,85,125
2026,03381,15068,6658,76,231,805,704
2026,03402,6539,2600,17,141,113,185
2026,03441,4547,2018,10,139,126,119
2026,03461,10213,5197,39,218,197,299
2026,03482,13508,6338,46,267,231,352
2026,03483,7625,3988,22,189,143,195
2026,03484,2800,1318,5,72,59,80
2026,03485,2244,1052,6,45,48,58
2026,03501,7668,3579,19,179,107,188
2026,03503,3807,1667,15,75,70,104
2026,03506,4956,2181,10,117,103,123
2026,03507,14343,6706,28,302,220,349
2026,03524,10311,5324,16,257,212,265
2025,03000,1153900,534966,4929,19678,33681,37213
2025,03201,277423,138578,1490,3818,10042,10532
2025,03202,45632,22418,155,899,865,1348
2025,03203,32059,14722,119,644,730,980
2025,03205,89867,39002,362,1524,2346,2404
2025,03206,91090,42022,468,1244,3808,3490
2025,03207,31216,15332,111,586,703,1017
2025,03208,23930,10658,90,536,516,664
2025,03209,105505,46286,363,2082,2483,2805
2025,03210,17226,7579,53,361,358,463
2025,03211,28934,15367,118,696,749,1123
2025,03213,24157,11680,87,461,576,699
2025,03214,23179,10787,60,498,818,730
2025,03215,107798,46554,451,1962,2378,2827
2025,03216,54413,24238,271,548,1904,2131
2025,03301,14995,6361,58,307,310,357
2025,03302,5293,2629,16,133,119,142
2025,03303,11542,5290,29,258,299,362
2025,03321,32684,13102,151,471,968,864
2025,03322,26160,11222,135,330,1118,1105
2025,03366,4659,2168,3,128,84,140
2025,03381,15119,6503,65,211,661,576
2025,03402,6734,2607,19,131,139,152
2025,03441,4681,2067,6,110,102,121
2025,03461,10492,5232,44,211,237,290
2025,03482,13854,6408,54,284,279,435
2025,03483,7843,4055,20,176,155,194
2025,03484,2888,1334,4,81,73,86
2025,03485,2293,1062,8,52,57,81
2025,03501,7907,3651,29,193,130,188
2025,03503,3901,1678,14,66,74,93
2025,03506,5084,2190,13,119,94,141
2025,03507,14739,6769,41,308,282,324
2025,03524,10603,5415,22,250,224,349
2024,03000,1172349,534717,5484,19675,35702,38664
