code,year,kg,kg_pupils,es,es_teachers,es_pupils,jhs,jhs_teachers,jhs_students,hs,hs_students
03201,2010,30,3707,47,918,16293,28,589,8289,17,11568
03201,2011,30,3605,47,914,16193,28,610,8394,17,11273
03201,2012,30,3728,48,917,15956,28,599,8370,17,11113
03201,2013,30,3668,48,915,15870,28,600,8345,17,10832
03201,2014,30,3694,46,907,15619,27,592,8283,17,10823
03201,2015,25,2960,46,913,15409,27,585,8307,17,10728
03201,2016,24,2570,45,927,15188,27,588,8198,17,10712
03201,2017,24,2517,44,931,15149,27,597,8039,17,10783
03201,2018,22,2363,44,937,15119,28,596,7724,17,10749
03201,2019,21,2224,44,931,14849,28,603,7745,17,10524
03201,2020,20,1931,44,927,14634,27,608,7611,17,10259
03201,2021,18,1686,44,930,14417,27,605,7767,17,9937
03201,2022,16,1405,43,924,14164,27,607,7649,17,9968
03201,2023,16,1254,43,910,13855,27,618,7639,17,9733
03202,2010,4,524,27,295,3071,12,171,1731,5,1987
03202,2011,4,529,27,297,2949,11,170,1702,5,1908
03202,2012,4,566,26,290,2802,11,173,1613,5,1879
03202,2013,4,562,26,296,2664,11,180,1554,5,1850
03202,2014,4,542,24,273,2587,11,177,1489,5,1828
03202,2015,4,543,21,260,2493,11,174,1475,5,1744
03202,2016,3,481,18,239,2399,11,169,1391,5,1685
03202,2017,3,454,17,239,2311,11,165,1291,5,1606
03202,2018,3,439,17,229,2263,11,162,1200,5,1555
03202,2019,3,434,16,229,2191,11,158,1148,5,1443
03202,2020,3,408,15,214,2062,11,157,1164,4,1330
03202,2021,3,388,14,211,1994,11,158,1151,4,1215
03202,2022,3,345,13,193,1964,11,144,1099,4,1141
03202,2023,3,299,13,191,1913,11,149,1004,4,1152
03203,2010,4,110,14,176,2044,8,120,1230,2,1254
03203,2011,4,84,14,191,1921,8,132,1181,2,1258
03203,2012,4,99,12,184,1788,8,136,1120,2,1222
03203,2013,4,87,12,183,1739,8,135,1075,2,1168
03203,2014,4,84,12,179,1649,8,135,1029,2,1073
03203,2015,2,71,12,182,1621,8,134,950,2,1029
03203,2016,2,82,12,176,1563,8,138,924,2,982
03203,2017,1,65,11,160,1515,8,134,871,2,970
03203,2018,1,63,11,164,1487,8,126,826,2,916
03203,2019,1,56,11,158,1460,8,126,803,2,879
03203,2020,1,47,11,160,1425,5,92,763,2,817
03203,2021,1,37,11,161,1407,4,83,743,2,744
03203,2022,1,31,11,158,1375,4,78,719,2,719
03203,2023,1,22,11,157,1344,4,78,722,2,681
03205,2010,9,850,25,386,5509,11,222,2813,6,2964
03205,2011,9,806,20,365,5449,11,226,2873,6,2938
03205,2012,9,800,19,355,5330,11,221,2801,6,2889
03205,2013,9,763,19,345,5173,11,228,2867,6,2825
03205,2014,9,763,19,338,5008,11,228,2790,6,2878
03205,2015,9,751,19,342,4959,11,222,2747,6,2856
03205,2016,9,702,19,335,4803,11,226,2684,6,2904
03205,2017,8,626,19,332,4670,11,221,2638,6,2898
03205,2018,8,642,19,335,4543,11,230,2580,6,2816
03205,2019,7,534,19,336,4442,11,225,2491,6,2808
03205,2020,7,528,19,329,4433,11,211,2374,6,2788
03205,2021,7,459,17,315,4279,11,216,2399,6,2849
03205,2022,7,395,17,314,4208,11,212,2300,6,2758
03205,2023,7,312,16,303,4113,11,210,2283,6,2721
03206,2010,12,1434,18,348,5742,9,210,2810,4,2991
03206,2011,12,1411,18,347,5719,9,208,2805,4,2982
03206,2012,12,1466,17,351,5618,9,214,2848,4,2919
03206,2013,12,1433,17,348,5517,9,213,2835,4,2835
03206,2014,12,1384,17,351,5327,9,212,2888,4,2837
03206,2015,10,1166,17,356,5351,9,207,2802,4,2842
03206,2016,10,1114,17,350,5203,9,206,2802,4,2883
03206,2017,10,1078,17,342,5155,9,200,2663,4,2852
03206,2018,10,1036,17,343,5071,9,205,2642,4,2777
03206,2019,10,979,17,346,4973,9,202,2511,4,2706
03206,2020,10,914,17,352,4887,9,198,2528,4,2565
03206,2021,8,658,17,347,4782,9,196,2543,4,2535
03206,2022,8,615,17,339,4683,9,207,2537,4,2459
03206,2023,8,548,14,328,4615,9,202,2469,4,2418
03207,2010,1,109,21,214,2183,9,131,1209,3,1257
03207,2011,1,92,19,208,2154,9,131,1181,3,1253
03207,2012,1,100,17,198,2043,9,136,1156,3,1217
03207,2013,1,111,16,190,1976,9,139,1114,3,1216
03207,2014,1,100,15,183,1913,8,135,1106,3,1185
03207,2015,1,91,15,182,1837,8,132,1059,3,1179
03207,2016,0,0,15,188,1831,8,130,1010,3,1146
