code,kind,schools
03201,中学校,25
03201,各種学校,4
03201,専修学校,18
03201,小学校,39
03201,幼稚園,13
03201,特別支援学校,6
03201,義務教育学校,0
03201,認定こども園,39
03201,高校,16
03202,中学校,11
03202,各種学校,0
03202,専修学校,1
03202,小学校,12
03202,幼稚園,3
03202,特別支援学校,1
03202,義務教育学校,0
03202,認定こども園,3
03202,高校,4
03203,中学校,3
03203,各種学校,0
03203,専修学校,0
03203,小学校,11
03203,幼稚園,1
03203,特別支援学校,1
03203,義務教育学校,0
03203,認定こども園,9
03203,高校,2
03205,中学校,11
03205,各種学校,0
03205,専修学校,2
03205,小学校,16
03205,幼稚園,5
03205,特別支援学校,1
03205,義務教育学校,0
03205,認定こども園,14
03205,高校,6
03206,中学校,8
03206,各種学校,1
03206,専修学校,1
03206,小学校,14
03206,幼稚園,7
03206,特別支援学校,0
03206,義務教育学校,0
03206,認定こども園,10
03206,高校,4
03207,中学校,4
03207,各種学校,0
03207,専修学校,0
03207,小学校,12
03207,幼稚園,0
03207,特別支援学校,1
03207,義務教育学校,0
03207,認定こども園,7
03207,高校,3
03208,中学校,3
03208,各種学校,0
03208,専修学校,0
03208,小学校,11
03208,幼稚園,1
03208,特別支援学校,0
03208,義務教育学校,0
03208,認定こども園,1
03208,高校,2
03209,中学校,15
03209,各種学校,0
03209,専修学校,5
03209,小学校,21
03209,幼稚園,5
03209,特別支援学校,1
03209,義務教育学校,0
03209,認定こども園,22
03209,高校,8
03210,中学校,2
03210,各種学校,0
03210,専修学校,0
03210,小学校,8
03210,幼稚園,1
03210,特別支援学校,0
03210,義務教育学校,0
03210,認定こども園,0
03210,高校,1
03211,中学校,5
03211,各種学校,0
03211,専修学校,1
03211,小学校,9
03211,幼稚園,2
03211,特別支援学校,1
03211,義務教育学校,0
03211,認定こども園,4
03211,高校,2
03213,中学校,3
03213,各種学校,0
03213,専修学校,1
03213,小学校,8
03213,幼稚園,1
03213,特別支援学校,1
03213,義務教育学校,0
03213,認定こども園,4
03213,高校,1
03214,中学校,4
03214,各種学校,1
03214,専修学校,0
03214,小学校,10
03214,幼稚園,1
03214,特別支援学校,0
03214,義務教育学校,0
03214,認定こども園,4
03214,高校,1
03215,中学校,7
03215,各種学校,0
03215,専修学校,1
03215,小学校,18
03215,幼稚園,3
03215,特別支援学校,1
03215,義務教育学校,0
03215,認定こども園,20
03215,高校,8
03216,中学校,7
03216,各種学校,0
03216,専修学校,0
03216,小学校,10
03216,幼稚園,1
03216,特別支援学校,1
03216,義務教育学校,0
03216,認定こども園,4
03216,高校,2
03301,中学校,1
03301,各種学校,0
03301,専修学校,0
03301,小学校,5
03301,幼稚園,0
03301,特別支援学校,0
03301,義務教育学校,0
03301,認定こども園,0
03301,高校,1
03302,中学校,3
03302,各種学校,0
03302,専修学校,0
03302,小学校,4
03302,幼稚園,0
03302,特別支援学校,0
03302,義務教育学校,0
03302,認定こども園,0
03302,高校,1
03303,中学校,3
03303,各種学校,0
03303,専修学校,0
03303,小学校,3
03303,幼稚園,0
03303,特別支援学校,0
03303,義務教育学校,0
03303,認定こども園,1
03303,高校,1
03321,中学校,3
03321,各種学校,0
03321,専修学校,0
03321,小学校,5
03321,幼稚園,1
03321,特別支援学校,0
03321,義務教育学校,0
03321,認定こども園,2
03321,高校,1
03322,中学校,2
03322,各種学校,0
03322,専修学校,1
03322,小学校,4
03322,幼稚園,0
03322,特別支援学校,1
03322,義務教育学校,0
03322,認定こども園,5
03322,高校,1
03366,中学校,2
03366,各種学校,0
03366,専修学校,0
03366,小学校,2
03366,幼稚園,0
03366,特別支援学校,0
03366,義務教育学校,0
03366,認定こども園,0
03366,高校,1
03381,中学校,1
03381,各種学校,0
03381,専修学校,1
03381,小学校,5
03381,幼稚園,2
03381,特別支援学校,0
03381,義務教育学校,0
03381,認定こども園,1
03381,高校,1
03402,中学校,1
03402,各種学校,0
03402,専修学校,0
03402,小学校,2
03402,幼稚園,0
03402,特別支援学校,0
03402,義務教育学校,0
03402,認定こども園,0
03402,高校,0
03441,中学校,1
03441,各種学校,0
03441,専修学校,0
03441,小学校,2
03441,幼稚園,0
03441,特別支援学校,0
03441,義務教育学校,0
03441,認定こども園,0
03441,高校,1
03461,中学校,1
03461,各種学校,0
03461,専修学校,0
03461,小学校,1
03461,幼稚園,1
03461,特別支援学校,0
03461,義務教育学校,1
03461,認定こども園,4
03461,高校,1
03482,中学校,1
03482,各種学校,0
03482,専修学校,0
03482,小学校,2
03482,幼稚園,1
03482,特別支援学校,0
03482,義務教育学校,0
03482,認定こども園,2
03482,高校,1
03483,中学校,3
03483,各種学校,0
03483,専修学校,0
03483,小学校,4
03483,幼稚園,0
03483,特別支援学校,0
03483,義務教育学校,0
03483,認定こども園,0
03483,高校,1
