code,kind,closed_year,name
03201,中学校,2026,盛岡市立玉山中学校
03201,各種学校,2026,盛岡市医師会附属盛岡准看護学院
03201,専修学校,2023,北日本ハイテクニカルクッキングカレッジ
03201,専修学校,2023,北日本ヘアスタイリストカレッジ
03201,専修学校,2023,北日本医療福祉専門学校
03201,専修学校,2023,岩手公務員・医療・ビジネス専門学校
03201,専修学校,2023,盛岡社会福祉専門学校
03201,専修学校,2023,菜園調理師専門学校
03201,小学校,2022,盛岡市立繋小学校
03201,小学校,2025,盛岡市立生出小学校
03201,小学校,2025,盛岡白百合学園小学校
03201,小学校,2026,盛岡市立玉山小学校
03201,幼稚園,2021,みどりが丘幼稚園
03201,幼稚園,2021,もみじが丘幼稚園
03201,幼稚園,2022,盛岡大学附属厨川幼稚園
03201,幼稚園,2022,盛岡大学附属松園幼稚園
03201,幼稚園,2024,学校法人盛岡学園みなみ幼稚園
03201,幼稚園,2025,聖パウロ幼稚園
03201,幼稚園,2026,ふじみ幼稚園
03201,高校,2025,岩手県立盛岡南高等学校
03202,小学校,2021,宮古市立亀岳小学校
03202,小学校,2022,宮古市立赤前小学校
03202,小学校,2026,宮古市立高浜小学校
03203,中学校,2021,大船渡市立綾里中学校
03203,中学校,2021,大船渡市立赤崎中学校
03203,中学校,2025,大船渡市立大船渡中学校
03203,中学校,2025,大船渡市立末崎中学校
03205,各種学校,2021,花巻大谷学園
03205,小学校,2021,花巻市立亀ケ森小学校
03205,小学校,2021,花巻市立内川目小学校
03205,小学校,2023,花巻市立笹間第二小学校
03205,幼稚園,2024,花巻市立土沢幼稚園
03205,幼稚園,2026,ゆもと幼稚園
03206,中学校,2026,北上市立東陵中学校
03206,小学校,2023,北上市立口内小学校
03206,小学校,2023,北上市立照岡小学校
03206,小学校,2023,北上市立立花小学校
03206,小学校,2023,北上市立黒岩小学校
03206,幼稚園,2021,北上市立横川目幼稚園
03206,幼稚園,2021,専修大学北上幼稚園
03206,幼稚園,2025,北上市立更木幼稚園
03207,中学校,2026,久慈市立三崎中学校
03207,中学校,2026,久慈市立侍浜中学校
03207,中学校,2026,久慈市立夏井中学校
03207,中学校,2026,久慈市立大川目中学校
03207,小学校,2021,久慈市立霜畑小学校
03207,小学校,2026,久慈市立来内小学校
03207,高校,2025,岩手県立久慈東高等学校
03209,中学校,2023,一関市立大原中学校
03209,中学校,2023,一関市立大東中学校
03209,中学校,2023,一関市立興田中学校
03209,専修学校,2025,一関市医師会附属一関准看護高等専修学校
03209,小学校,2022,一関市立室根東小学校
03209,小学校,2022,一関市立室根西小学校
03209,小学校,2023,一関市立新沼小学校
03209,小学校,2023,一関市立永井小学校
03209,小学校,2023,一関市立油島小学校
03209,小学校,2023,一関市立涌津小学校
03209,小学校,2023,一関市立老松小学校
03209,小学校,2023,一関市立花泉小学校
03209,小学校,2023,一関市立金沢小学校
03209,幼稚園,2023,一関市立厳美幼稚園
03209,幼稚園,2023,一関市立弥栄幼稚園
03209,幼稚園,2023,一関市立狐禅寺幼稚園
03209,幼稚園,2023,一関市立萩荘幼稚園
03209,幼稚園,2024,一関市立摺沢幼稚園
03213,高校,2024,岩手県立福岡工業高等学校
03215,中学校,2022,奥州市立江刺南中学校
03215,中学校,2022,奥州市立江刺東中学校
03215,専修学校,2024,水沢学苑看護専門学校
03215,小学校,2022,奥州市立大田代小学校
03215,小学校,2023,奥州市立人首小学校
03215,小学校,2023,奥州市立伊手小学校
03215,小学校,2023,奥州市立広瀬小学校
03215,小学校,2023,奥州市立木細工小学校
03215,小学校,2023,奥州市立梁川小学校
03215,小学校,2023,奥州市立玉里小学校
03215,小学校,2023,奥州市立藤里小学校
03215,小学校,2024,奥州市立胆沢愛宕小学校
03215,小学校,2024,奥州市立黒石小学校
03215,幼稚園,2021,奥州市立衣里幼稚園
03215,幼稚園,2021,常盤幼稚園
03215,幼稚園,2023,認定こども園八日市幼稚園
03215,幼稚園,2024,奥州市立佐倉河幼稚園
03215,幼稚園,2024,奥州市立南都田幼稚園
03215,幼稚園,2024,奥州市立岩谷堂幼稚園
03215,幼稚園,2024,奥州市立羽田幼稚園
03215,幼稚園,2024,奥州市立若柳幼稚園
03216,幼稚園,2021,大釜幼稚園
03301,幼稚園,2021,わかば幼稚園
03303,幼稚園,2023,岩手中央幼稚園
03321,小学校,2021,紫波町立上平沢小学校
03321,小学校,2021,紫波町立水分小学校
03321,小学校,2021,紫波町立片寄小学校
03321,小学校,2022,紫波町立佐比内小学校
03321,小学校,2022,紫波町立彦部小学校
03321,小学校,2022,紫波町立星山小学校
03321,小学校,2022,紫波町立赤沢小学校
03321,小学校,2022,紫波町立長岡小学校
03322,高校,2025,岩手県立不来方高等学校
03381,幼稚園,2022,金ケ崎町立永岡幼稚園
03381,幼稚園,2025,金ケ崎町立三ケ尻幼稚園
03402,幼稚園,2026,平泉町立平泉幼稚園
03441,中学校,2024,住田町立世田米中学校
03441,中学校,2024,住田町立有住中学校
03482,小学校,2024,山田町立船越小学校
