code,service,offices,with_url
03201,保育所等訪問支援,11,7
03201,児童発達支援,33,20
03201,共同生活援助,38,15
03201,同行援護,7,1
03201,宿泊型自立訓練,1,1
03201,就労定着支援,10,7
03201,就労移行支援,11,10
03201,就労継続支援Ａ型,19,16
03201,就労継続支援Ｂ型,58,43
03201,居宅介護,66,21
03201,居宅訪問型児童発達支援,1,0
03201,放課後等デイサービス,61,36
03201,施設入所支援,5,4
03201,生活介護,25,23
03201,療養介護,1,0
03201,短期入所,17,12
03201,福祉型障害児入所施設,1,1
03201,自立生活援助,1,1
03201,自立訓練（生活訓練）,4,4
03201,行動援護,2,1
03201,計画相談支援,35,17
03201,重度訪問介護,58,18
03201,障害児相談支援,25,13
03202,保育所等訪問支援,1,1
03202,児童発達支援,2,1
03202,共同生活援助,8,1
03202,同行援護,2,0
03202,地域相談支援（地域定着支援）,3,1
03202,地域相談支援（地域移行支援）,3,1
03202,宿泊型自立訓練,1,0
03202,就労定着支援,1,0
03202,就労移行支援,1,0
03202,就労継続支援Ａ型,3,1
03202,就労継続支援Ｂ型,10,3
03202,居宅介護,8,0
03202,放課後等デイサービス,1,1
03202,施設入所支援,2,2
03202,生活介護,8,3
03202,短期入所,6,4
03202,福祉型障害児入所施設,1,1
03202,自立訓練（生活訓練）,1,0
03202,行動援護,2,0
03202,計画相談支援,5,3
03202,重度訪問介護,7,1
03202,障害児相談支援,4,3
03203,児童発達支援,2,2
03203,共同生活援助,5,2
03203,地域相談支援（地域定着支援）,2,1
03203,地域相談支援（地域移行支援）,2,1
03203,就労継続支援Ａ型,1,1
03203,就労継続支援Ｂ型,8,5
03203,居宅介護,2,0
03203,放課後等デイサービス,3,3
03203,施設入所支援,1,1
03203,生活介護,3,3
03203,短期入所,3,2
03203,行動援護,1,0
03203,計画相談支援,2,1
03203,重度訪問介護,1,0
03203,障害児相談支援,1,0
03205,保育所等訪問支援,1,0
03205,児童発達支援,7,4
03205,共同生活援助,19,16
03205,同行援護,2,2
03205,地域相談支援（地域定着支援）,5,5
03205,地域相談支援（地域移行支援）,5,5
03205,就労定着支援,1,1
03205,就労移行支援,2,1
03205,就労継続支援Ａ型,4,2
03205,就労継続支援Ｂ型,23,13
03205,居宅介護,12,7
03205,放課後等デイサービス,15,8
03205,施設入所支援,3,3
03205,生活介護,15,12
03205,療養介護,1,1
03205,短期入所,6,5
03205,自立生活援助,3,3
03205,自立訓練（生活訓練）,1,0
03205,行動援護,1,1
03205,計画相談支援,9,5
03205,重度訪問介護,10,6
03205,障害児相談支援,7,6
03206,保育所等訪問支援,2,2
03206,児童発達支援,12,9
03206,共同生活援助,10,5
03206,同行援護,2,2
03206,地域相談支援（地域定着支援）,5,4
03206,地域相談支援（地域移行支援）,5,4
03206,就労定着支援,3,2
03206,就労移行支援,3,2
03206,就労継続支援Ａ型,2,1
03206,就労継続支援Ｂ型,12,6
03206,居宅介護,10,3
03206,放課後等デイサービス,14,10
03206,施設入所支援,1,1
03206,生活介護,10,7
03206,短期入所,8,3
03206,自立訓練（生活訓練）,1,0
03206,計画相談支援,6,5
03206,重度訪問介護,8,2
03206,障害児相談支援,6,5
03207,児童発達支援,1,0
03207,共同生活援助,5,5
03207,地域相談支援（地域定着支援）,4,1
03207,地域相談支援（地域移行支援）,4,2
03207,宿泊型自立訓練,1,1
03207,就労継続支援Ａ型,2,2
03207,就労継続支援Ｂ型,7,7
03207,居宅介護,5,1
03207,放課後等デイサービス,3,1
03207,施設入所支援,2,1
03207,生活介護,3,2
03207,短期入所,3,2
03207,自立訓練（生活訓練）,1,1
03207,行動援護,1,0
03207,計画相談支援,4,2
03207,重度訪問介護,5,2
03207,障害児相談支援,4,2
03208,共同生活援助,10,9
03208,地域相談支援（地域定着支援）,1,1
03208,地域相談支援（地域移行支援）,1,1
03208,就労移行支援,1,0
03208,就労継続支援Ｂ型,5,4
03208,居宅介護,1,0
03208,放課後等デイサービス,2,0
03208,施設入所支援,3,3
03208,生活介護,5,5
03208,短期入所,4,4
03208,計画相談支援,4,3
03208,重度訪問介護,1,1
03208,障害児相談支援,3,2
03209,保育所等訪問支援,2,2
03209,児童発達支援,8,4
03209,共同生活援助,10,4
03209,同行援護,2,0
03209,地域相談支援（地域定着支援）,6,4
03209,地域相談支援（地域移行支援）,6,5
03209,宿泊型自立訓練,1,1
03209,就労継続支援Ａ型,4,2
03209,就労継続支援Ｂ型,20,7
03209,居宅介護,22,9
03209,放課後等デイサービス,12,7
03209,施設入所支援,4,4
03209,生活介護,15,9
03209,療養介護,1,1
03209,短期入所,9,6
03209,自立訓練（生活訓練）,1,1
03209,行動援護,1,0
03209,計画相談支援,8,5
03209,重度訪問介護,18,7
03209,障害児相談支援,8,5
03210,共同生活援助,2,1
03210,同行援護,2,1
03210,地域相談支援（地域定着支援）,2,1
03210,地域相談支援（地域移行支援）,2,1
03210,就労移行支援,1,0
03210,就労継続支援Ｂ型,5,4
03210,居宅介護,2,1
03210,放課後等デイサービス,2,2
03210,施設入所支援,1,0
03210,生活介護,2,2
03210,短期入所,1,0
03210,行動援護,1,1
03210,計画相談支援,2,1
03210,重度訪問介護,2,1
03210,障害児相談支援,2,1
03211,保育所等訪問支援,1,0
03211,児童発達支援,2,1
03211,共同生活援助,5,4
03211,同行援護,2,0
03211,地域相談支援（地域定着支援）,4,3
03211,地域相談支援（地域移行支援）,4,3
03211,就労移行支援,2,0
03211,就労継続支援Ｂ型,3,0
03211,居宅介護,7,1
03211,放課後等デイサービス,3,1
03211,施設入所支援,1,1
03211,生活介護,3,3
03211,療養介護,1,1
03211,短期入所,2,2
03211,自立訓練（機能訓練）,1,1
03211,自立訓練（生活訓練）,1,1
03211,行動援護,1,0
03211,計画相談支援,4,3
03211,重度訪問介護,6,1
03211,障害児相談支援,3,1
03213,保育所等訪問支援,3,3
03213,児童発達支援,2,2
03213,共同生活援助,5,3
03213,地域相談支援（地域定着支援）,1,1
03213,地域相談支援（地域移行支援）,1,1
03213,就労移行支援,1,0
03213,就労継続支援Ｂ型,8,4
03213,居宅介護,2,1
03213,放課後等デイサービス,5,5
03213,施設入所支援,1,1
03213,生活介護,5,3
03213,短期入所,2,2
03213,自立生活援助,1,0
03213,計画相談支援,3,1
03213,重度訪問介護,2,1
03213,障害児相談支援,2,1
03214,共同生活援助,7,4
03214,就労継続支援Ａ型,1,1
03214,就労継続支援Ｂ型,5,2
03214,居宅介護,2,1
03214,放課後等デイサービス,2,0
03214,生活介護,3,2
03214,短期入所,2,2
03214,計画相談支援,3,0
03214,重度訪問介護,1,0
03214,障害児相談支援,2,0
03215,保育所等訪問支援,5,5
03215,児童発達支援,12,10
03215,共同生活援助,9,8
03215,同行援護,1,1
03215,地域相談支援（地域定着支援）,5,3
03215,地域相談支援（地域移行支援）,5,4
03215,就労定着支援,1,1
03215,就労移行支援,1,1
03215,就労継続支援Ａ型,5,1
03215,就労継続支援Ｂ型,17,10
03215,居宅介護,11,6
03215,放課後等デイサービス,17,12
03215,施設入所支援,3,3
03215,生活介護,16,13
03215,短期入所,8,6
03215,福祉型障害児入所施設,1,1
03215,自立生活援助,2,2
03215,自立訓練（生活訓練）,1,0
03215,行動援護,1,1
03215,計画相談支援,11,7
03215,重度訪問介護,10,5
03215,障害児相談支援,4,2
03216,保育所等訪問支援,1,0
03216,児童発達支援,4,1
03216,共同生活援助,10,4
03216,地域相談支援（地域定着支援）,1,1
03216,地域相談支援（地域移行支援）,1,1
03216,宿泊型自立訓練,2,2
03216,就労移行支援,1,1
