code,year,taxable_income,taxpayers,farmland,mfg_shipment,mfg_estab,mfg_workers
03000,2010,1303693847,504658,153900,2099077,2353,87736
03000,2011,1283491264,498385,152700,1911917,2211,81154
03000,2012,1272447206,489891,152600,2229565,2206,81870
03000,2013,1330773557,510640,152000,2267151,2148,82077
03000,2014,1371497119,517405,151500,2270696,2130,82600
03000,2015,1382209949,520120,151100,2366978,,
03000,2016,1429066296,532005,150800,2371678,2281,84546
03000,2017,1460469707,537647,150500,2525650,2081,85282
03000,2018,1483560635,542075,150100,2727177,2087,86662
03000,2019,1499962437,544397,149800,2626206,2087,87940
03000,2020,1509772572,545043,149500,2494299,2055,87639
03000,2021,1549185430,543952,149300,2713266,1866,84349
03000,2022,1554903863,539402,148700,3112393,2114,85720
03000,2023,1570936991,540073,147100,3124685,2126,86593
03000,2024,1548533148,501567,146000,,2114,86083
03201,2010,377577112,125440,9050,104154,180,6097
03201,2011,373808057,125321,8950,104567,190,6018
03201,2012,379475047,126810,8920,101717,182,6034
03201,2013,390725374,130050,8900,98487,168,5763
03201,2014,405057451,131379,8860,101077,173,5734
03201,2015,403847652,132147,8790,150186,,
03201,2016,415424539,133991,8770,119299,204,6409
03201,2017,424639087,135096,8750,119627,155,5858
03201,2018,428687005,135936,8720,122888,157,5945
03201,2019,433045231,136736,8710,125545,154,5898
03201,2020,436595032,137376,8670,110407,146,5565
03201,2021,446664504,137294,8650,115976,146,5191
03201,2022,449732175,137349,8600,122705,190,5244
03201,2023,453549477,137759,8480,132635,192,5484
03201,2024,454856057,130029,8390,,190,5471
03202,2010,51384632,21010,2260,77141,130,3387
03202,2011,50518082,20901,2180,59197,113,2879
03202,2012,45407713,18275,2180,61148,111,2764
03202,2013,49594399,19478,2180,69728,109,2796
03202,2014,53035590,20640,2150,74759,110,2816
03202,2015,54749592,20953,2150,75200,,
03202,2016,56516362,21523,2130,74882,122,2805
03202,2017,57100608,21663,2140,77632,106,2784
03202,2018,57820352,22014,2060,76568,104,2704
03202,2019,57648802,21686,2030,74847,108,2649
03202,2020,55329053,21274,2030,74364,109,2682
03202,2021,55551907,20894,2020,80100,92,2493
03202,2022,54949082,20288,1990,79049,101,2464
