code,year,gomi_collect_pop,gomi_total,gomi_per_day,recycle_rate,landfill,flush_rate,nonflush_pop
03000,2010,1342291,446281,911,18.7,47400,19.4,467852
03000,2011,1325147,449111,926,18.7,52498,19.9,450810
03000,2012,1321598,455076,943,18.7,52678,20.6,428584
03000,2013,1312383,452666,945,18.5,50415,21.5,395956
03000,2014,1302923,449548,945,17.4,49913,21.6,381636
03000,2015,1291352,440812,933,18.5,44939,21.7,362090
03000,2016,1279875,430106,921,18.1,40609,21.2,351940
03000,2017,1266552,426270,922,18.4,40788,21.2,332822
03000,2018,1252038,424967,930,18.2,41305,21.7,310188
03000,2019,1238207,420164,927,17.6,41265,21.9,290113
03000,2020,1223946,405527,908,17.5,37829,21.9,276071
03000,2021,1209697,401035,908,17.1,37405,17.2,252040
03000,2022,1193904,392513,901,16.8,36656,17.3,240778
03000,2023,1176017,376721,875,16.4,34761,17.4,230323
03201,2010,292285,117086,1098,17.5,13680,8.3,21202
03201,2011,293452,117565,1095,17.9,13628,7.7,22142
03201,2012,295706,117403,1088,17.5,13449,7.6,23226
03201,2013,295667,118399,1097,17.1,13673,7.5,22454
03201,2014,295142,115650,1074,16.1,13719,7.3,21740
03201,2015,294091,114309,1062,17.6,12786,7.3,21355
03201,2016,293130,111703,1044,16.1,12578,7.3,19524
03201,2017,291994,110003,1032,16.7,12507,7.0,17733
03201,2018,290233,109892,1037,16.2,12894,6.9,17146
03201,2019,288618,108210,1024,15.6,12557,6.8,16224
03201,2020,287284,102970,982,15.7,11658,6.8,15626
03201,2021,285680,100902,968,15.6,11315,4.8,14871
03201,2022,283566,98375,950,15.4,11115,4.8,13938
03201,2023,280851,95303,927,15.0,11085,5.4,11585
03202,2010,60328,22359,1015,16.5,2460,16.0,21860
03202,2011,58893,21907,1016,16.1,2443,16.8,20967
03202,2012,58247,21706,1021,16.2,2624,17.9,18650
03202,2013,57606,21875,1040,15.8,2770,22.4,14851
03202,2014,56996,22242,1069,14.6,2542,19.5,15240
03202,2015,56138,21674,1055,14.4,2426,18.6,14727
03202,2016,55341,21205,1050,14.0,2464,19.3,13411
03202,2017,54319,21874,1103,13.2,3006,16.4,12948
03202,2018,53181,21708,1118,12.3,2933,17.0,14141
03202,2019,51993,20652,1085,12.5,2825,18.3,12383
03202,2020,50755,19492,1052,12.5,2255,15.4,13256
03202,2021,49500,18898,1046,12.1,2163,14.2,12272
03202,2022,48235,18348,1042,11.8,2129,15.0,11993
03202,2023,47033,17499,1017,11.5,1947,14.9,11481
03203,2010,40896,10648,713,20.2,838,29.8,21591
03203,2011,39461,10098,699,22.7,1201,30.5,21132
03203,2012,39441,10247,712,26.5,692,33.1,19736
03203,2013,39174,10658,745,26.0,713,37.8,17300
03203,2014,38973,10915,767,19.9,600,41.4,15536
03203,2015,38559,10978,778,19.7,600,41.8,14889
03203,2016,38030,10588,763,20.5,332,32.5,17687
03203,2017,37394,10504,770,21.3,546,31.3,17261
03203,2018,36712,10276,767,20.9,374,45.5,11154
03203,2019,36040,10111,767,20.2,434,45.6,9445
03203,2020,35238,9744,758,21.9,399,45.7,8547
03203,2021,34466,9632,766,19.1,417,46.5,7615
03203,2022,33714,9351,760,18.0,378,47.7,6493
03203,2023,32999,8930,739,19.1,363,42.7,7538
03205,2010,102999,35831,953,16.1,4389,23.1,33727
03205,2011,101693,36806,989,15.1,4887,25.2,30190
03205,2012,100920,39631,1076,17.3,5403,26.6,27031
03205,2013,100250,38471,1051,14.6,4707,27.3,24630
03205,2014,100015,36373,996,14.7,4635,27.6,23298
03205,2015,99135,34795,959,18.2,2745,27.4,22128
03205,2016,98241,33022,921,22.5,1700,27.6,20715
03205,2017,97213,32087,904,22.4,1314,27.4,19644
03205,2018,96260,31124,886,21.6,1544,27.4,18621
03205,2019,95466,30922,885,21.8,1595,27.1,17912
03205,2020,94601,30147,873,20.5,1439,25.8,17217
03205,2021,93682,30403,889,20.7,1409,13.5,16357
03205,2022,92682,29971,886,19.9,1281,13.7,15689
03205,2023,91404,29178,872,19.5,1377,13.7,14859
03206,2010,93061,26677,785,25.2,2580,18.9,25613
03206,2011,93505,28081,821,25.0,3276,19.5,23491
03206,2012,94127,27347,796,22.9,3219,19.4,22621
03206,2013,93880,27108,791,21.4,2519,19.7,21709
03206,2014,93741,26869,785,20.3,2993,19.7,20365
03206,2015,93704,27217,794,22.2,2551,19.5,18421
03206,2016,93312,26605,781,26.1,700,19.5,17749
03206,2017,92870,26673,787,25.7,1000,19.7,17538
03206,2018,92661,27354,809,26.7,1283,20.5,16311
03206,2019,92545,26955,796,25.2,1363,20.6,14713
03206,2020,92368,26397,783,23.0,1209,20.5,13986
03206,2021,92506,26489,785,23.3,1204,8.6,13659
03206,2022,92244,26311,781,22.5,1175,8.7,13108
03206,2023,91694,25150,749,22.2,1043,8.7,12760
03207,2010,38216,13922,998,10.7,2127,14.8,26374
03207,2011,37905,13606,981,11.6,2013,14.9,26032
03207,2012,37814,13498,978,10.4,2257,14.7,26030
03207,2013,37543,13438,981,10.5,2160,17.4,23389
03207,2014,37139,13911,1026,11.2,2038,17.6,22985
03207,2015,36760,13547,1007,10.6,1987,20.1,21080
03207,2016,36266,13335,1007,10.3,1788,19.6,20769
03207,2017,35692,13231,1016,11.2,1786,20.0,19726
03207,2018,35239,13153,1023,11.4,1683,20.6,19002
03207,2019,34740,13186,1037,11.5,1646,21.5,18027
03207,2020,34214,12355,989,11.9,1542,21.5,17748
03207,2021,33475,12186,997,11.7,1522,15.3,16680
03207,2022,32763,11902,995,11.1,1384,15.3,15884
03207,2023,32145,11300,960,10.9,1336,15.8,15249
03208,2010,30335,9307,841,17.4,963,18.1,15906
03208,2011,29746,9942,913,19.6,1001,19.1,14868
03208,2012,29823,9644,886,21.4,939,19.0,14812
03208,2013,29479,9612,893,21.6,937,20.6,13647
03208,2014,29150,9396,883,22.9,927,18.5,13934
03208,2015,28779,9301,883,25.2,737,19.3,10928
03208,2016,28374,8902,860,28.7,412,23.2,11461
03208,2017,27884,8872,872,28.2,420,24.3,10657
03208,2018,27246,9106,916,27.4,482,26.3,9615
03208,2019,26737,8553,874,28.7,467,27.7,7606
03208,2020,26138,8326,873,27.5,409,27.9,7430
03208,2021,25648,8131,869,27.2,410,25.3,7249
03208,2022,25139,8113,884,27.0,383,25.4,6984
03208,2023,24681,7686,851,26.1,325,25.6,6827
03209,2010,120215,35575,811,15.8,5164,19.5,68668
03209,2011,128571,39473,839,15.4,6231,21.3,72089
03209,2012,127745,42094,903,14.1,6416,22.2,69513
03209,2013,126162,38478,836,15.6,5394,23.2,65895
03209,2014,124663,38604,848,15.6,5466,23.6,63367
03209,2015,122919,37211,827,15.8,5159,24.4,59323
03209,2016,121411,36646,827,15.1,4866,26.3,53528
03209,2017,119655,36317,832,15.0,4866,26.7,50390
03209,2018,117814,35607,828,16.8,4871,27.7,47375
