code,year,sales_farms,self_farms,full_farms,part_farms,abandoned
03000,2009,55347,21030,12160,43187,13933
03000,2014,45254,20845,11519,33735,17428
03000,2019,33861,18827,,,
03201,2009,3304,1246,657,2647,556
03201,2014,2781,1300,734,2047,744
03201,2019,2145,1118,,,
03202,2009,979,751,305,674,568
03202,2014,774,674,228,546,602
03202,2019,542,592,,,
03203,2009,369,878,69,300,511
03203,2014,249,761,62,187,544
03203,2019,159,631,,,
03205,2009,5363,1409,966,4397,856
03205,2014,4466,1406,860,3606,1251
03205,2019,3322,1326,,,
03206,2009,3304,1142,495,2809,334
03206,2014,2710,1173,603,2107,458
03206,2019,1937,1044,,,
03207,2009,850,839,271,579,625
03207,2014,637,723,224,413,661
03207,2019,425,615,,,
03208,2009,2548,824,605,1943,619
03208,2014,1987,882,530,1457,710
03208,2019,1462,856,,,
03209,2009,8328,2977,1742,6586,1750
03209,2014,7795,3557,1733,6062,2919
03209,2019,5509,3487,,,
03210,2009,776,903,171,605,426
03210,2014,428,656,106,322,481
03210,2019,285,540,,,
03211,2009,207,248,62,145,185
03211,2014,141,192,44,97,209
03211,2019,104,162,,,
03213,2009,1810,690,590,1220,660
03213,2014,1490,664,588,902,747
03213,2019,1170,546,,,
03214,2009,2880,607,743,2137,522
03214,2014,2358,647,612,1746,780
03214,2019,1831,657,,,
03215,2009,9448,2134,1861,7587,844
03215,2014,7791,2398,1851,5940,1334
03215,2019,6073,2127,,,
03216,2014,765,182,188,577,425
03216,2019,646,184,,,
03301,2009,1326,220,199,1127,204
03301,2014,1119,254,216,903,278
03301,2019,891,242,,,
03302,2009,560,283,200,360,141
03302,2014,427,270,168,259,180
03302,2019,303,248,,,
03303,2009,1300,408,376,924,584
03303,2014,1069,396,415,654,759
03303,2019,833,338,,,
03305,2009,878,150,185,693,209
03321,2009,1498,547,302,1196,233
03321,2014,1324,570,321,1003,342
03321,2019,1162,499,,,
03322,2009,544,482,110,434,63
03322,2014,456,408,103,353,70
03322,2019,377,302,,,
03366,2009,768,174,196,572,210
03366,2014,573,176,169,404,218
03366,2019,376,181,,,
03381,2009,962,247,180,782,164
03381,2014,938,254,216,722,171
03381,2019,745,248,,,
03402,2009,777,267,114,663,98
03402,2014,694,265,134,560,143
03402,2019,564,255,,,
03422,2009,1076,457,203,873,416
03441,2009,483,365,134,349,213
03441,2014,347,368,93,254,247
03441,2019,248,308,,,
03461,2009,191,117,47,144,110
03461,2014,150,111,40,110,110
03461,2019,108,93,,,
03482,2009,303,223,74,229,293
03482,2014,219,172,52,167,273
03482,2019,132,149,,,
03483,2009,594,578,199,395,351
03483,2014,469,509,183,286,361
03483,2019,262,488,,,
03484,2009,131,228,36,95,262
03484,2014,102,185,45,57,225
03484,2019,68,165,,,
03485,2009,60,119,13,47,73
03485,2014,41,117,17,24,73
03485,2019,24,97,,,
03501,2009,968,329,269,699,497
03501,2014,795,332,253,542,502
03501,2019,636,281,,,
03503,2009,188,173,47,141,103
03503,2014,133,182,37,96,115
03503,2019,84,157,,,
03506,2009,628,212,192,436,223
03506,2014,520,179,167,353,280
03506,2019,361,188,,,
03507,2009,978,303,250,728,390
03507,2014,758,378,239,519,566
03507,2019,543,311,,,
03524,2009,968,500,297,671,641
03524,2014,748,504,288,460,650
03524,2019,534,392,,,
