code,year,pop75,foreign,did_pop,households,general_hh,nuclear_hh,single_hh,eld_couple_hh,eld_single_hh
03000,2010,,5184,393716,483934,482845,246937,132370,48029,43479
03000,2015,207419,5017,407920,493049,489383,251014,148575,53475,53398
03000,2020,214277,6937,400246,492436,490828,252005,163290,57656,62424
03201,2010,,1041,230447,125096,124839,64422,45863,10484,9479
03201,2015,36782,1126,237280,129718,129420,66640,49931,12431,12490
03201,2020,41034,1321,235450,131110,130755,66677,52767,13510,14458
03202,2010,,129,17054,22509,22440,11962,6146,2783,2621
03202,2015,10170,112,15521,23387,22544,11399,7410,2857,3193
03202,2020,10378,125,10781,21289,21152,10671,7447,2788,3543
03203,2010,,338,6683,14819,14798,6956,4082,1662,1405
03203,2015,6875,257,5063,14807,14489,6891,4380,1770,1680
03203,2020,7256,318,,14124,14078,6748,4628,1848,2047
03205,2010,,319,13109,33774,33678,16603,7656,3260,2910
03205,2015,16842,240,13659,33799,33671,16988,8116,3649,3612
03205,2020,17531,373,18282,34724,34604,17817,9646,4014,4272
03206,2010,,337,28237,34068,34027,17167,9815,2498,2312
03206,2015,12151,383,30471,35861,35800,18326,11031,2987,3019
03206,2020,12806,736,32129,38915,38808,19034,14264,3390,3609
03207,2010,,192,7464,14012,13984,7758,3878,1503,1495
03207,2015,5710,171,7837,14256,14226,7861,4354,1722,1757
03207,2020,5805,324,7017,14122,14083,7471,4887,1821,2022
03208,2010,,83,,9888,9866,4600,2333,1212,1238
03208,2015,6201,90,,9973,9926,4663,2633,1228,1409
03208,2020,5824,155,,9622,9593,4593,2831,1229,1575
03209,2010,,634,23765,39939,39837,19344,9203,4087,3708
03209,2015,23053,695,23292,43046,42905,21007,11055,4787,4809
03209,2020,22181,799,19247,42232,42092,21208,12088,5213,5601
03210,2010,,111,,7785,7767,3744,1602,994,821
03210,2015,4012,102,,7487,7278,3350,2154,900,929
03210,2020,4183,173,,7142,7117,3342,2230,922,1067
03211,2010,,123,18428,16094,16070,8879,4762,2449,2374
03211,2015,7153,157,15419,16860,16048,8272,6033,2268,2675
03211,2020,7182,219,12730,14725,14684,7409,5786,2104,2837
03213,2010,,152,5295,10847,10824,5561,2789,1212,1173
03213,2015,5089,157,,10670,10637,5483,3092,1274,1363
03213,2020,5153,192,,10555,10519,5368,3476,1377,1582
03214,2010,,166,,9664,9647,4814,2110,1118,955
03214,2015,5548,109,,9429,9406,4842,2255,1271,1143
03214,2020,5332,95,,9152,9118,4685,2528,1327,1402
03215,2010,,391,24452,41388,41308,20413,9205,4165,3666
03215,2015,21546,411,24831,41726,41593,21326,10117,4658,4449
03215,2020,21732,589,25043,42371,42241,21945,11825,4969,5412
03216,2015,5005,111,25076,20787,20711,12335,5639,1962,1356
03216,2020,6281,233,26837,21709,21629,13069,6085,2531,1823
03301,2010,,50,,5543,5530,2739,1036,481,414
03301,2015,3074,28,,5508,5495,2810,1115,560,588
03301,2020,3177,42,,5412,5399,2860,1205,626,707
03302,2010,,18,,2664,2657,1287,677,408,387
03302,2015,1552,13,,2460,2453,1215,683,407,434
03302,2020,1501,23,,2349,2342,1160,749,423,503
03303,2010,,114,,5039,5030,2546,1078,606,502
03303,2015,2815,114,,4927,4915,2467,1218,621,627
03303,2020,2671,165,,4773,4761,2421,1376,646,739
03305,2010,,98,18782,19400,19334,11677,4790,1412,942
03321,2010,,85,,10513,10503,5769,1706,862,676
03321,2015,4508,53,,10808,10793,6174,1874,1116,905
03321,2020,4991,86,,11368,11352,6728,2254,1368,1159
03322,2010,,70,,8856,8830,5027,1865,566,360
03322,2015,3144,48,9471,9902,9874,5440,2657,813,575
03322,2020,3458,104,12730,10986,10956,5822,3545,1039,755
03366,2010,,8,,2272,2262,968,523,382,324
03366,2015,1764,6,,2146,2131,943,561,376,369
03366,2020,1608,24,,1989,1977,906,588,363,391
03381,2010,,91,,5409,5398,2497,1367,427,359
03381,2015,2595,115,,5556,5536,2671,1506,482,415
