code,year,labor,workers,jobless,workers65
03000,2010,679332,631303,48029,76790
03000,2015,662760,636329,26431,94862
03000,2020,628881,605093,23788,111257
03201,2010,149099,139100,9999,
03201,2015,150121,143723,6398,15341
03201,2020,147354,141690,5664,19031
03202,2010,28114,25669,2445,
03202,2015,27770,26507,1263,3953
03202,2020,24612,23450,1162,4328
03203,2010,20275,18663,1612,
03203,2015,19513,18838,675,2853
03203,2020,17974,17324,650,3322
03205,2010,52998,49915,3083,
03205,2015,51180,49218,1962,8368
03205,2020,49146,47508,1638,9622
03206,2010,48459,44759,3700,
03206,2015,49063,47239,1824,5563
03206,2020,47000,45361,1639,6810
03207,2010,18255,16282,1973,
03207,2015,18039,17134,905,2095
03207,2020,16915,16181,734,2632
03208,2010,15090,14080,1010,
03208,2015,14850,14291,559,2872
03208,2020,13574,13098,476,3127
03209,2010,60332,55979,4353,
03209,2015,62608,60063,2545,10279
03209,2020,58558,56355,2203,11981
03210,2010,11310,10633,677,
03210,2015,10052,9697,355,1581
03210,2020,9428,9036,392,1820
03211,2010,18306,16900,1406,
03211,2015,18318,17547,771,2426
03211,2020,15539,14824,715,2762
03213,2010,15844,14664,1180,
03213,2015,15114,14580,534,2666
03213,2020,14093,13551,542,2999
03214,2010,15547,14315,1232,
03214,2015,14438,13845,593,2760
03214,2020,13151,12609,542,3275
03215,2010,65918,61670,4248,
03215,2015,63950,61595,2355,11032
03215,2020,60273,58252,2021,12573
03216,2015,28955,27861,1094,2726
03216,2020,29658,28621,1037,3811
03301,2010,10094,9494,600,
03301,2015,9465,9148,317,1780
03301,2020,8688,8381,307,2053
03302,2010,3702,3481,221,
03302,2015,3143,3014,129,673
03302,2020,2786,2684,102,748
03303,2010,8061,7483,578,
03303,2015,7447,7173,274,1364
03303,2020,6731,6434,297,1524
03305,2010,28439,26478,1961,
03321,2010,18075,16971,1104,
03321,2015,17891,17209,682,2785
03321,2020,17591,17028,563,3360
03322,2010,14483,13733,750,
03322,2015,14436,13922,514,1757
03322,2020,14743,14202,541,2169
03366,2010,3469,3328,141,
03366,2015,3064,2988,76,800
03366,2020,2743,2653,90,841
03381,2010,8819,8303,516,
03381,2015,8757,8508,249,1380
03381,2020,8784,8585,199,1702
03402,2010,4440,4173,267,
03402,2015,4210,4075,135,818
03402,2020,3932,3784,148,937
03422,2010,4949,4627,322,
03441,2010,3034,2804,230,
03441,2015,2942,2850,92,574
03441,2020,2569,2471,98,540
03461,2010,7289,6677,612,
03461,2015,6038,5769,269,840
03461,2020,5420,5091,329,851
03482,2010,9092,8327,765,
03482,2015,8031,7632,399,1308
03482,2020,7200,6839,361,1366
03483,2010,5302,4917,385,
03483,2015,5186,5004,182,1160
03483,2020,4391,4187,204,997
03484,2010,1877,1776,101,
03484,2015,1818,1738,80,357
03484,2020,1570,1514,56,383
03485,2010,1591,1398,193,
03485,2015,1460,1407,53,269
03485,2020,1303,1250,53,320
03501,2010,5382,4956,426,
03501,2015,5008,4801,207,958
03501,2020,4600,4463,137,1134
03503,2010,2258,2056,202,
03503,2015,2110,1986,124,313
03503,2020,2004,1911,93,350
03506,2010,3483,3209,274,
03506,2015,3128,2957,171,695
03506,2020,2922,2794,128,823
03507,2010,8669,7732,937,
03507,2015,8184,7781,403,1400
03507,2020,7668,7237,431,1641
03524,2010,7277,6751,526,
03524,2015,6471,6229,242,1116
03524,2020,5961,5725,236,1425
