code,year,hospitals,gen_hospitals,clinics,dental_clinics,hosp_beds,clinic_beds,doctors,dentists,pharmacists
03000,2010,95,80,918,611,18506,2133,2576,1046,2123
03000,2011,92,77,902,580,17965,2044,,,
03000,2012,92,77,918,590,17856,1930,2603,1031,2183
03000,2013,92,77,923,602,17756,1883,,,
03000,2014,91,76,902,594,17569,1663,2622,1031,2232
03000,2015,91,76,904,594,17496,1576,,,
03000,2016,93,78,898,592,17471,1506,2631,1029,2303
03000,2017,93,78,874,587,17304,1418,,,
03000,2018,93,78,882,583,17081,1343,2673,1005,2421
03000,2019,91,76,879,576,15589,1270,,,
03000,2020,92,77,877,566,16436,1187,2700,1016,2536
03000,2021,92,77,888,557,16158,1163,,,
03000,2022,92,77,889,548,16146,1055,2758,965,2572
03000,2023,91,76,879,542,15850,939,,,
03201,2010,29,24,276,200,6447,575,1237,518,792
03201,2011,29,24,273,202,6415,558,,,
03201,2012,29,24,274,202,6369,501,1205,488,814
03201,2013,29,24,269,204,6309,517,,,
03201,2014,29,24,261,202,6275,459,1240,475,861
03201,2015,29,24,260,202,6275,428,,,
03201,2016,29,24,259,201,6269,368,1240,469,862
03201,2017,29,24,258,202,6248,330,,,
03201,2018,28,23,261,200,6152,351,1303,452,930
03201,2019,27,22,264,198,4961,333,,,
03201,2020,27,22,262,196,4899,335,843,445,879
03201,2021,27,22,260,191,4784,335,,,
03201,2022,27,22,260,187,4772,306,867,445,885
03201,2023,26,21,258,185,4622,224,,,
03202,2010,4,2,35,24,1175,106,91,31,77
03202,2011,4,2,33,22,1175,93,,,
03202,2012,4,2,33,23,1165,93,85,32,72
03202,2013,4,2,34,25,1132,86,,,
03202,2014,4,2,34,23,1132,73,91,31,68
03202,2015,4,2,34,23,1067,73,,,
03202,2016,4,2,34,22,1067,73,86,29,80
03202,2017,4,2,33,21,1067,73,,,
03202,2018,4,2,32,21,1067,73,84,29,86
03202,2019,4,2,33,20,1057,73,,,
03202,2020,4,2,32,20,1054,59,90,29,91
03202,2021,4,2,34,19,1054,59,,,
03202,2022,4,2,34,18,1054,59,85,25,92
03202,2023,4,2,34,17,1000,59,,,
03203,2010,1,1,30,18,489,38,73,20,59
03203,2011,1,1,24,10,489,38,,,
03203,2012,1,1,26,13,489,38,71,19,67
03203,2013,1,1,26,14,489,38,,,
03203,2014,1,1,26,16,489,38,73,18,69
03203,2015,1,1,27,17,489,38,,,
03203,2016,1,1,26,17,489,38,75,21,64
03203,2017,1,1,27,17,489,38,,,
03203,2018,1,1,27,17,489,38,77,21,67
03203,2019,1,1,27,17,489,19,,,
03203,2020,1,1,28,17,489,19,71,20,71
03203,2021,1,1,27,17,489,19,,,
03203,2022,1,1,27,17,489,19,78,20,69
03203,2023,1,1,28,15,489,19,,,
03205,2010,7,6,70,38,1209,183,129,50,175
03205,2011,7,6,71,36,1209,171,,,
03205,2012,7,6,73,35,1159,164,135,48,183
03205,2013,7,6,73,36,1159,164,,,
03205,2014,7,6,71,35,1159,158,114,50,186
03205,2015,7,6,71,35,1159,155,,,
03205,2016,7,6,71,34,1159,155,110,50,190
03205,2017,7,6,66,34,1124,155,,,
03205,2018,7,6,68,34,1022,117,110,48,181
03205,2019,6,5,65,34,872,105,,,
03205,2020,6,5,69,34,871,105,103,47,194
03205,2021,6,5,70,35,871,99,,,
03205,2022,6,5,68,35,871,99,103,48,194
03205,2023,6,5,68,35,871,99,,,
03206,2010,3,2,69,44,923,87,158,57,143
03206,2011,3,2,68,44,923,87,,,
03206,2012,3,2,68,43,923,87,180,59,164
03206,2013,3,2,72,43,923,87,,,
03206,2014,3,2,70,41,923,87,188,53,156
03206,2015,3,2,71,42,923,87,,,
03206,2016,3,2,70,42,923,77,198,57,169
03206,2017,3,2,65,40,917,64,,,
03206,2018,3,2,65,41,917,64,195,58,170
03206,2019,3,2,63,39,917,52,,,
03206,2020,3,2,63,38,861,36,183,55,181
03206,2021,3,2,66,37,782,36,,,
03206,2022,3,2,63,37,782,36,206,55,194
03206,2023,3,2,62,36,782,26,,,
03207,2010,3,2,20,15,638,55,68,24,40
03207,2011,3,2,21,15,638,55,,,
03207,2012,3,2,21,16,638,55,73,26,40
03207,2013,3,2,21,15,638,36,,,
03207,2014,3,2,21,14,638,36,70,25,40
03207,2015,3,2,22,14,631,36,,,
03207,2016,3,2,22,13,631,36,76,23,40
03207,2017,3,2,22,13,625,36,,,
03207,2018,3,2,22,13,625,36,70,22,45
03207,2019,3,2,22,13,625,36,,,
03207,2020,3,2,21,12,625,36,68,18,50
03207,2021,3,2,20,12,625,36,,,
03207,2022,3,2,19,12,625,36,60,17,45
03207,2023,3,2,19,12,625,36,,,
03208,2010,2,1,19,10,346,19,28,12,24
03208,2011,2,1,19,10,346,19,,,
03208,2012,2,1,19,11,346,19,29,14,25
03208,2013,2,1,19,11,346,19,,,
03208,2014,2,1,20,11,346,19,30,16,28
03208,2015,2,1,19,11,346,11,,,
03208,2016,2,1,16,11,346,11,25,16,28
03208,2017,2,1,16,11,346,0,,,
03208,2018,2,1,16,11,269,0,27,14,37
03208,2019,2,1,16,11,269,0,,,
03208,2020,2,1,16,10,269,0,26,13,35
03208,2021,2,1,16,10,238,0,,,
03208,2022,2,1,17,9,238,0,26,12,35
03208,2023,2,1,17,9,238,0,,,
03209,2010,9,8,88,49,1680,134,195,63,174
03209,2011,10,9,86,50,1719,134,,,
03209,2012,10,9,88,50,1716,115,199,67,184
03209,2013,10,9,90,53,1709,115,,,
03209,2014,10,9,85,52,1617,107,203,65,186
03209,2015,10,9,83,51,1617,107,,,
03209,2016,10,9,83,52,1597,107,209,69,193
03209,2017,10,9,81,52,1556,107,,,
03209,2018,10,9,81,52,1533,107,210,68,200
03209,2019,10,9,81,50,1531,107,,,
03209,2020,10,9,85,47,1527,107,214,66,210
03209,2021,10,9,84,47,1517,89,,,
03209,2022,10,9,85,44,1517,79,230,60,213
03209,2023,10,9,82,45,1517,79,,,
03210,2010,2,2,10,9,289,41,21,9,27
03210,2011,2,2,7,3,194,23,,,
03210,2012,2,2,7,6,194,23,21,7,23
03210,2013,2,2,10,7,194,23,,,
03210,2014,2,2,8,7,194,23,20,9,23
03210,2015,2,2,8,7,194,23,,,
03210,2016,2,2,8,7,194,23,18,9,27
03210,2017,2,2,8,7,194,19,,,
03210,2018,2,2,8,7,213,19,18,9,29
03210,2019,2,2,8,7,213,19,,,
03210,2020,2,2,8,7,213,21,21,9,28
03210,2021,2,2,8,7,213,21,,,
03210,2022,2,2,8,7,213,21,19,7,27
03210,2023,2,2,10,7,213,21,,,
03211,2010,5,4,17,18,929,25,65,21,73
03211,2011,5,4,15,16,929,16,,,
03211,2012,5,4,16,16,929,16,69,19,66
03211,2013,5,4,15,15,929,16,,,
03211,2014,5,4,19,14,929,21,66,22,61
03211,2015,5,4,21,15,929,21,,,
03211,2016,5,4,22,15,929,21,62,20,67
03211,2017,5,4,20,14,929,21,,,
03211,2018,5,4,19,14,929,21,51,20,68
03211,2019,5,4,17,15,929,21,,,
03211,2020,5,4,17,15,929,21,48,23,73
03211,2021,5,4,19,14,929,21,,,
03211,2022,5,4,18,14,929,21,54,23,69
03211,2023,5,4,17,14,837,21,,,
03213,2010,1,1,16,16,300,90,56,19,50
03213,2011,1,1,16,15,300,90,,,
03213,2012,1,1,16,15,300,90,57,20,54
03213,2013,1,1,16,15,300,90,,,
03213,2014,1,1,18,15,300,77,54,21,53
03213,2015,1,1,18,15,300,65,,,
