code,year,births,deaths,marriages,divorces,in_migr,out_migr
03000,2010,9745,15756,5724,2327,,
03000,2011,9310,22335,5346,2038,,
03000,2012,9277,16072,5629,1975,,
03000,2013,9231,15970,5398,2003,,
03000,2014,8803,16274,5482,1855,18300,21612
03000,2015,8814,16502,5243,1956,18137,22430
03000,2016,8342,16959,4873,1877,17733,21720
03000,2017,8175,17232,4775,1861,17423,21845
03000,2018,7615,17390,4439,1843,17108,22133
03000,2019,6974,17826,4489,1754,17682,22208
03000,2020,6718,17204,3918,1679,16313,20264
03000,2021,6472,17631,3673,1459,16971,19983
03000,2022,5788,19342,3508,1492,16894,21267
03000,2023,5432,19612,3376,1488,16220,20843
03000,2024,,,,,15538,20411
03201,2010,2542,2526,1553,516,,
03201,2011,2443,2769,1480,462,,
03201,2012,2477,2798,1603,500,,
03201,2013,2476,2723,1527,519,,
03201,2014,2401,2887,1588,463,,
03201,2015,2379,2945,1506,447,,
03201,2016,2289,2968,1358,486,,
03201,2017,2245,3050,1382,465,,
03201,2018,2076,3087,1289,462,11208,12014
03201,2019,2004,3130,1344,446,11155,11833
03201,2020,1873,3135,1184,430,10855,11282
03201,2021,1938,3353,1116,368,10881,10952
03201,2022,1710,3670,1094,364,10289,10949
03201,2023,1596,3737,1022,377,10065,10816
03201,2024,,,,,9496,10264
03202,2010,364,807,226,95,,
03202,2011,345,1326,215,85,,
03202,2012,381,813,220,81,,
03202,2013,370,761,211,70,,
03202,2014,347,788,216,93,,
03202,2015,388,865,220,88,,
03202,2016,325,874,207,76,,
03202,2017,316,843,196,78,,
03202,2018,341,911,165,71,1337,1925
03202,2019,287,943,184,71,1263,1795
03202,2020,265,861,158,79,1087,1656
03202,2021,245,827,127,45,1050,1750
03202,2022,204,934,121,34,1054,1568
03202,2023,215,982,108,52,1048,1465
03202,2024,,,,,839,1329
03203,2010,260,511,159,67,,
03203,2011,239,1001,156,49,,
03203,2012,249,489,159,53,,
03203,2013,205,535,157,54,,
03203,2014,240,497,150,50,,
03203,2015,267,556,159,69,,
03203,2016,233,553,137,65,,
03203,2017,212,579,132,45,,
03203,2018,197,607,121,62,895,1499
03203,2019,177,650,147,58,831,1522
03203,2020,165,570,106,45,783,1150
03203,2021,137,601,81,47,734,1081
03203,2022,135,590,98,36,748,1156
03203,2023,126,614,103,47,727,1044
03203,2024,,,,,615,961
03205,2010,709,1247,414,182,,
03205,2011,688,1291,376,169,,
03205,2012,659,1247,393,169,,
03205,2013,681,1287,385,148,,
03205,2014,673,1320,417,156,,
03205,2015,642,1281,373,142,,
03205,2016,596,1384,366,157,,
03205,2017,604,1458,347,141,,
03205,2018,565,1508,325,132,2171,2308
03205,2019,498,1409,307,140,2406,2356
03205,2020,492,1407,308,120,2257,2205
03205,2021,459,1443,292,118,2320,2248
03205,2022,454,1609,277,124,2320,2349
03205,2023,405,1590,249,108,2169,2421
03205,2024,,,,,2103,2276
03206,2010,804,885,471,186,,
03206,2011,818,948,453,177,,
03206,2012,785,947,536,158,,
03206,2013,827,943,499,179,,
03206,2014,782,901,461,153,,
03206,2015,739,895,442,178,,
03206,2016,691,1000,434,187,,
03206,2017,721,1054,416,155,,
03206,2018,633,1025,431,171,3130,2923
03206,2019,623,1138,389,152,3508,3210
03206,2020,565,1061,358,161,3315,2996
03206,2021,563,1088,350,151,3585,2955
03206,2022,500,1133,349,150,3570,3350
03206,2023,499,1215,343,159,3460,3450
03206,2024,,,,,3524,3325
03207,2010,277,438,168,68,,
03207,2011,309,434,160,64,,
03207,2012,276,422,134,45,,
03207,2013,251,470,154,54,,
03207,2014,283,441,139,54,,
03207,2015,251,438,150,47,,
03207,2016,240,510,123,50,,
03207,2017,223,482,127,61,,
03207,2018,197,486,122,55,920,1107
03207,2019,172,499,129,41,948,1097
03207,2020,195,492,90,42,806,1090
03207,2021,166,497,93,47,714,1110
03207,2022,134,556,85,48,815,1089
03207,2023,137,547,81,45,665,947
03207,2024,,,,,639,956
03208,2010,194,437,101,44,,
03208,2011,177,489,101,45,,
03208,2012,186,446,115,42,,
03208,2013,189,496,91,39,,
03208,2014,159,427,93,25,,
03208,2015,155,436,74,37,,
03208,2016,146,476,81,28,,
03208,2017,136,505,91,41,,
03208,2018,151,522,65,35,524,768
03208,2019,127,528,87,31,497,697
03208,2020,126,500,57,22,473,631
03208,2021,116,466,58,37,452,571
03208,2022,97,471,52,23,547,652
03208,2023,93,523,54,27,544,665
03208,2024,,,,,477,626
03209,2010,867,1655,457,202,,
03209,2011,800,1849,433,192,,
03209,2012,817,1884,434,159,,
03209,2013,799,1795,413,196,,
03209,2014,754,1865,435,149,,
03209,2015,709,1863,446,185,,
03209,2016,698,1899,381,156,,
03209,2017,644,1959,370,170,,
03209,2018,629,1953,371,170,2457,2929
03209,2019,549,1957,336,128,2219,2951
03209,2020,553,1780,325,148,2178,2789
03209,2021,484,1895,262,91,2173,2563
03209,2022,440,2093,255,146,2142,2848
03209,2023,451,2117,274,132,2270,2924
03209,2024,,,,,2164,2668
03210,2010,119,324,88,44,,
03210,2011,90,1996,59,31,,
03210,2012,91,278,61,38,,
03210,2013,110,282,64,25,,
03210,2014,87,290,58,29,,
03210,2015,111,289,90,26,,
03210,2016,99,305,83,29,,
03210,2017,105,295,62,28,,
03210,2018,88,324,66,24,480,575
03210,2019,83,323,51,18,489,519
03210,2020,95,347,47,22,428,459
03210,2021,78,276,44,24,395,485
03210,2022,60,363,34,15,374,439
03210,2023,61,364,43,15,420,421
