code,year,accidents,deaths,injuries,fatal_accidents
03201,2019,550,11,623,11
03201,2020,475,3,560,3
03201,2021,536,6,628,6
03201,2022,487,4,578,4
03201,2023,382,4,440,4
03201,2024,351,3,426,3
03202,2019,44,2,57,2
03202,2020,52,1,54,1
03202,2021,52,0,57,0
03202,2022,41,2,48,1
03202,2023,46,1,55,1
03202,2024,48,3,51,3
03203,2019,42,1,44,1
03203,2020,36,1,41,1
03203,2021,33,2,41,2
03203,2022,31,3,32,3
03203,2023,31,1,36,1
03203,2024,38,3,46,2
03205,2019,175,2,209,2
03205,2020,152,0,183,0
03205,2021,134,1,164,1
03205,2022,127,3,152,3
03205,2023,161,2,217,2
03205,2024,147,2,177,2
03206,2019,232,6,294,5
03206,2020,166,5,201,5
03206,2021,131,3,149,3
03206,2022,119,2,133,2
03206,2023,129,3,164,3
03206,2024,147,2,168,2
03207,2019,26,2,36,2
03207,2020,35,0,42,0
03207,2021,26,1,37,1
03207,2022,42,3,49,2
03207,2023,49,1,57,1
03207,2024,31,0,41,0
03208,2019,21,1,32,1
03208,2020,17,2,21,2
03208,2021,21,1,27,1
03208,2022,19,0,30,0
03208,2023,17,1,21,1
03208,2024,20,1,25,1
03209,2019,162,3,204,3
03209,2020,134,6,159,6
03209,2021,120,10,137,10
03209,2022,144,3,174,3
03209,2023,145,4,177,4
03209,2024,98,1,119,1
03210,2019,16,0,21,0
03210,2020,18,0,20,0
03210,2021,18,2,19,2
03210,2022,16,2,18,2
03210,2023,15,0,16,0
03210,2024,16,0,26,0
03211,2019,47,1,53,1
03211,2020,37,1,37,1
03211,2021,28,0,34,0
03211,2022,30,2,36,2
03211,2023,25,1,25,1
03211,2024,13,1,13,1
03213,2019,17,0,20,0
03213,2020,12,1,14,1
03213,2021,9,0,11,0
03213,2022,13,0,15,0
03213,2023,20,1,20,1
03213,2024,15,0,19,0
03214,2019,41,1,51,1
03214,2020,27,4,36,4
03214,2021,16,0,17,0
03214,2022,25,1,41,1
03214,2023,27,0,31,0
03214,2024,27,2,33,2
03215,2019,237,2,277,2
03215,2020,204,7,233,7
03215,2021,176,2,198,2
03215,2022,173,2,205,2
03215,2023,211,7,251,7
03215,2024,189,3,239,3
03216,2019,63,2,77,2
03216,2020,63,0,76,0
03216,2021,61,1,69,1
03216,2022,55,0,62,0
03216,2023,38,1,42,1
03216,2024,43,0,53,0
03301,2019,21,1,29,1
03301,2020,10,0,16,0
03301,2021,11,1,12,1
03301,2022,16,1,17,1
03301,2023,12,1,17,1
03301,2024,7,1,14,1
03302,2019,7,0,12,0
03302,2020,2,0,2,0
03302,2021,1,0,2,0
03302,2022,1,0,3,0
03302,2023,1,0,2,0
03302,2024,3,0,4,0
03303,2019,20,1,22,1
03303,2020,11,2,14,2
03303,2021,11,0,12,0
03303,2022,7,1,9,1
03303,2023,15,1,19,1
03303,2024,13,0,15,0
03321,2019,42,0,47,0
03321,2020,50,2,60,2
03321,2021,35,1,41,1
03321,2022,36,1,49,1
03321,2023,38,0,40,0
03321,2024,33,1,45,1
03322,2019,70,0,84,0
03322,2020,43,1,56,1
03322,2021,49,0,60,0
03322,2022,33,1,41,1
03322,2023,30,1,39,1
03322,2024,37,0,44,0
03366,2019,5,0,5,0
03366,2020,3,1,7,1
03366,2021,5,0,6,0
03366,2022,5,1,9,1
03366,2023,8,1,9,1
03366,2024,2,0,4,0
03381,2019,41,0,53,0
03381,2020,37,0,43,0
03381,2021,27,0,27,0
03381,2022,26,1,35,1
03381,2023,30,1,36,1
03381,2024,32,0,41,0
03402,2019,19,2,30,2
03402,2020,14,3,15,3
03402,2021,11,0,15,0
03402,2022,8,1,11,1
03402,2023,12,0,13,0
03402,2024,13,0,18,0
03441,2019,6,0,12,0
03441,2020,3,0,3,0
03441,2021,8,2,9,2
03441,2022,4,0,5,0
03441,2023,6,1,5,1
03441,2024,9,0,11,0
03461,2019,9,0,11,0
03461,2020,5,1,6,1
03461,2021,8,0,11,0
03461,2022,7,1,7,1
03461,2023,4,0,5,0
03461,2024,7,1,7,1
03482,2019,7,0,10,0
03482,2020,11,0,11,0
03482,2021,8,1,9,1
03482,2022,11,0,11,0
03482,2023,13,0,16,0
03482,2024,2,0,2,0
03483,2019,10,1,13,1
03483,2020,8,0,8,0
03483,2021,8,0,10,0
03483,2022,3,0,3,0
03483,2023,7,0,7,0
03483,2024,10,1,12,1
03484,2019,0,0,0,0
03484,2020,2,0,4,0
03484,2021,1,0,1,0
03484,2022,0,0,0,0
03484,2023,0,0,0,0
03484,2024,4,1,3,1
03485,2019,0,0,0,0
03485,2020,3,1,2,1
03485,2021,3,1,3,1
03485,2022,1,0,1,0
03485,2023,0,0,0,0
03485,2024,1,0,2,0
03501,2019,2,1,1,1
03501,2020,5,1,4,1
03501,2021,2,0,2,0
03501,2022,5,1,6,1
03501,2023,8,0,8,0
03501,2024,6,1,8,1
03503,2019,6,2,7,2
03503,2020,3,1,4,1
03503,2021,0,0,0,0
03503,2022,3,0,3,0
03503,2023,5,0,7,0
03503,2024,4,0,6,0
03506,2019,3,0,3,0
03506,2020,0,0,0,0
03506,2021,3,0,4,0
03506,2022,0,0,0,0
03506,2023,2,0,3,0
03506,2024,2,1,1,1
03507,2019,18,1,32,1
03507,2020,16,2,16,2
03507,2021,4,0,4,0
03507,2022,18,1,22,1
03507,2023,11,0,15,0
03507,2024,13,0,15,0
03524,2019,9,2,11,2
03524,2020,4,0,5,0
03524,2021,10,0,14,0
03524,2022,5,0,7,0
03524,2023,5,2,3,2
03524,2024,10,0,12,0
