code,year,tokuyo,tokuyo_cap,yuryo,yuryo_cap,kokuho
03201,2010,12,814,30,677,66721
03201,2011,10,684,23,624,66775
03201,2012,13,871,38,931,65589
03201,2013,14,922,40,1109,64235
03201,2014,17,1004,50,1171,62585
03201,2015,16,1049,54,1295,60478
03201,2016,19,1209,61,1511,57635
03201,2017,18,1174,68,1616,55455
03201,2018,22,1394,83,2034,53901
03201,2019,22,1454,87,2166,52743
03201,2020,22,1454,90,2242,52096
03201,2021,22,1454,93,2358,50998
03201,2022,22,1474,100,2561,49314
03201,2023,22,1474,100,2576,47616
03202,2010,5,310,1,21,19593
03202,2011,5,310,1,21,19217
03202,2012,5,310,1,21,17941
03202,2013,5,310,1,21,17022
03202,2014,5,340,1,21,16155
03202,2015,5,370,1,21,15260
03202,2016,5,370,1,21,14357
03202,2017,5,370,1,21,13713
03202,2018,5,370,1,21,12869
03202,2019,5,370,1,21,12399
03202,2020,5,370,1,21,12038
03202,2021,5,370,2,41,11745
03202,2022,5,370,2,41,10984
03202,2023,5,370,3,51,10626
03203,2010,3,207,0,0,13388
03203,2011,2,149,0,0,13458
03203,2012,1,38,0,0,12244
03203,2013,2,149,0,0,11503
03203,2014,2,149,0,0,10985
03203,2015,4,179,0,0,10328
03203,2016,4,179,0,0,9736
03203,2017,4,191,0,0,9265
03203,2018,4,191,0,0,8798
03203,2019,5,226,0,0,8484
03203,2020,5,226,0,0,8283
03203,2021,5,226,0,0,8070
03203,2022,5,226,0,0,7534
03203,2023,5,226,0,0,7265
03205,2010,7,539,3,50,26057
03205,2011,6,459,3,50,25534
03205,2012,7,589,4,57,24932
03205,2013,7,589,3,39,23945
03205,2014,9,589,5,134,22870
03205,2015,9,613,3,68,22091
03205,2016,9,613,3,68,20967
03205,2017,9,613,6,127,20074
03205,2018,9,616,6,128,19235
03205,2019,9,616,6,131,18798
03205,2020,9,616,7,161,18705
03205,2021,9,616,12,328,18033
03205,2022,9,616,13,360,17215
03205,2023,9,616,13,360,16639
03206,2010,5,255,2,20,21284
03206,2011,5,255,2,20,21451
03206,2012,5,280,3,30,21126
03206,2013,5,280,4,35,20568
03206,2014,5,280,8,106,20001
03206,2015,5,280,4,43,19173
03206,2016,5,280,4,43,18348
03206,2017,5,280,5,67,17594
03206,2018,5,280,7,91,17035
03206,2019,5,380,7,127,16432
03206,2020,5,380,7,127,16358
03206,2021,5,386,16,300,15898
03206,2022,5,386,16,300,15178
03206,2023,5,386,18,321,14744
03207,2010,3,152,0,0,13116
03207,2011,3,152,0,0,12645
03207,2012,3,152,0,0,11777
03207,2013,3,152,0,0,11220
03207,2014,3,152,2,45,10601
03207,2015,3,152,0,0,10027
03207,2016,3,152,0,0,9573
03207,2017,3,152,1,30,9082
03207,2018,3,152,1,30,8508
03207,2019,3,150,1,30,8078
03207,2020,3,150,1,30,7788
03207,2021,3,150,4,95,7651
03207,2022,3,150,4,95,7347
03207,2023,3,150,4,95,7080
03208,2010,2,150,0,0,9165
03208,2011,2,150,0,0,8739
03208,2012,2,180,0,0,8378
03208,2013,2,180,0,0,8036
03208,2014,3,180,2,27,7720
03208,2015,4,180,0,0,7301
03208,2016,4,180,0,0,6947
03208,2017,4,180,0,0,6488
03208,2018,4,180,2,15,6182
03208,2019,4,180,2,15,6058
03208,2020,4,180,2,15,5987
03208,2021,4,180,4,42,5793
03208,2022,4,180,1,14,5460
03208,2023,4,180,1,14,5144
03209,2010,11,624,5,154,33870
03209,2011,13,771,7,176,35950
03209,2012,12,730,6,173,34751
03209,2013,13,810,7,176,33420
03209,2014,14,810,15,379,32006
03209,2015,14,810,8,198,30473
03209,2016,14,810,9,197,28881
03209,2017,13,760,9,206,27514
03209,2018,14,810,10,228,26634
03209,2019,14,810,11,286,25619
03209,2020,15,860,11,286,25193
03209,2021,15,860,26,620,24688
03209,2022,15,860,25,592,23452
03209,2023,16,880,25,592,22526
03210,2010,1,90,0,0,7678
03210,2011,1,90,0,0,7223
03210,2012,1,90,0,0,6718
03210,2013,1,90,0,0,6284
03210,2014,2,90,0,0,5944
03210,2015,2,90,0,0,5604
03210,2016,2,90,0,0,5188
03210,2017,2,90,0,0,4948
03210,2018,2,90,0,0,4701
03210,2019,2,90,1,20,4564
03210,2020,2,90,1,20,4489
03210,2021,2,90,1,20,4473
03210,2022,2,90,1,20,4269
03210,2023,2,90,1,20,4038
03211,2010,3,221,1,17,11270
03211,2011,3,221,1,17,11168
03211,2012,2,160,3,76,10171
03211,2013,2,160,3,76,9660
03211,2014,3,201,3,76,9285
03211,2015,2,140,3,76,8881
03211,2016,2,140,2,62,8371
03211,2017,3,206,3,76,7936
03211,2018,3,206,3,55,7534
03211,2019,3,206,3,55,7354
03211,2020,3,206,3,55,7150
03211,2021,3,206,3,55,6875
03211,2022,3,206,3,52,6494
03211,2023,3,206,4,64,6033
03213,2010,2,114,4,51,10615
03213,2011,3,164,4,57,10186
03213,2012,3,164,7,98,9609
03213,2013,3,164,7,99,9061
03213,2014,3,164,8,119,8594
03213,2015,3,164,7,112,8081
03213,2016,3,164,8,121,7634
03213,2017,2,114,8,121,7225
03213,2018,3,164,8,121,6753
03213,2019,3,164,8,121,6438
03213,2020,3,164,9,139,6248
03213,2021,3,164,9,139,6050
03213,2022,3,164,9,139,5758
03213,2023,3,164,9,139,5526
03214,2010,2,118,0,0,9254
03214,2011,3,193,0,0,8870
03214,2012,4,273,1,9,8589
03214,2013,3,198,3,21,8120
03214,2014,3,193,3,19,7635
03214,2015,3,193,2,14,7146
03214,2016,3,193,4,32,6832
03214,2017,3,193,3,26,6619
03214,2018,4,273,4,32,6356
03214,2019,4,273,4,33,6288
03214,2020,4,273,4,33,6103
03214,2021,4,273,7,107,5933
03214,2022,4,273,8,148,5795
03214,2023,4,273,8,148,5615
03215,2010,10,676,2,33,36219
03215,2011,10,676,2,33,34783
03215,2012,10,676,10,91,33292
03215,2013,9,592,12,131,31728
03215,2014,10,616,21,319,30384
03215,2015,11,666,12,139,28529
03215,2016,11,666,13,165,26882
03215,2017,11,666,17,229,25645
03215,2018,11,666,20,315,24661
03215,2019,11,666,21,307,24072
